index,id,gene,species
14,ENSMUSG00000002249,TEAD3,mus_musculus
14,FBgn0003345,TEAD3,drosophila_melanogaster
14,WBGene00001208,TEAD3,caenorhabditis_elegans
14,ENSG00000007866,TEAD3,homo_sapiens
15,ENSMUSG00000018983,E2F2,mus_musculus
15,FBgn0011766,E2F2,drosophila_melanogaster
15,WBGene00001162,E2F2,caenorhabditis_elegans
15,ENSG00000007968,E2F2,homo_sapiens
16,ENSMUSG00000038518,JARID2,mus_musculus
16,ENSXETG00000015433,JARID2,xenopus_tropicalis
16,FBgn0036004,JARID2,drosophila_melanogaster
16,ENSG00000008083,JARID2,homo_sapiens
17,ENSMUSG00000025927,TFAP2B,mus_musculus
17,ENSXETG00000021674,TFAP2B,xenopus_tropicalis
17,FBgn0261953,TFAP2B,drosophila_melanogaster
17,WBGene00019424,TFAP2B,caenorhabditis_elegans
17,ENSG00000008196,TFAP2B,homo_sapiens
18,ENSMUSG00000042596,TFAP2D,mus_musculus
18,ENSXETG00000032997,TFAP2D,xenopus_tropicalis
18,FBgn0261953,TFAP2D,drosophila_melanogaster
18,WBGene00019424,TFAP2D,caenorhabditis_elegans
18,ENSG00000008197,TFAP2D,homo_sapiens
19,ENSMUSG00000001911,NFIX,mus_musculus
19,ENSXETG00000016718,NFIX,xenopus_tropicalis
19,FBgn0042696,NFIX,drosophila_melanogaster
19,WBGene00003592,NFIX,caenorhabditis_elegans
19,ENSG00000008441,NFIX,homo_sapiens
20,ENSMUSG00000068823,CSDE1,mus_musculus
20,ENSXETG00000021448,CSDE1,xenopus_tropicalis
20,FBgn0263352,CSDE1,drosophila_melanogaster
20,ENSG00000009307,CSDE1,homo_sapiens
21,ENSMUSG00000028736,PAX7,mus_musculus
21,ENSXETG00000018527,PAX7,xenopus_tropicalis
21,FBgn0001148,PAX7,drosophila_melanogaster
21,WBGene00003939,PAX7,caenorhabditis_elegans
21,ENSG00000009709,PAX7,homo_sapiens
22,ENSMUSG00000005373,MLXIPL,mus_musculus
22,ENSXETG00000030310,MLXIPL,xenopus_tropicalis
22,FBgn0032940,MLXIPL,drosophila_melanogaster
22,WBGene00003378,MLXIPL,caenorhabditis_elegans
22,ENSG00000009950,MLXIPL,homo_sapiens
23,FBgn0000097,ETV7,drosophila_melanogaster
23,WBGene00016798,ETV7,caenorhabditis_elegans
23,ENSG00000010030,ETV7,homo_sapiens
24,ENSG00000010539,ZNF200,homo_sapiens
25,ENSMUSG00000015501,HIVEP2,mus_musculus
25,ENSXETG00000023284,HIVEP2,xenopus_tropicalis
25,FBgn0003396,HIVEP2,drosophila_melanogaster
25,WBGene00004862,HIVEP2,caenorhabditis_elegans
25,ENSG00000010818,HIVEP2,homo_sapiens
26,ENSXETG00000011340,NME1-NME2,xenopus_tropicalis
26,WBGene00009119,NME1-NME2,caenorhabditis_elegans
26,ENSG00000011052,NME1-NME2,homo_sapiens
27,ENSMUSG00000024050,WIZ,mus_musculus
27,ENSXETG00000013026,WIZ,xenopus_tropicalis
27,ENSG00000011451,WIZ,homo_sapiens
28,ENSMUSG00000006310,ZBTB32,mus_musculus
28,ENSG00000011590,ZBTB32,homo_sapiens
29,ENSMUSG00000047638,NR1H4,mus_musculus
29,ENSXETG00000030372,NR1H4,xenopus_tropicalis
29,FBgn0000546,NR1H4,drosophila_melanogaster
29,ENSG00000012504,NR1H4,homo_sapiens
30,ENSMUSG00000056673,KDM5D,mus_musculus
30,ENSXETG00000007178,KDM5D,xenopus_tropicalis
30,FBgn0031759,KDM5D,drosophila_melanogaster
30,WBGene00004319,KDM5D,caenorhabditis_elegans
30,ENSG00000012817,KDM5D,homo_sapiens
31,ENSMUSG00000042258,ISL1,mus_musculus
31,ENSXETG00000004188,ISL1,xenopus_tropicalis
31,FBgn0003896,ISL1,drosophila_melanogaster
31,WBGene00002989,ISL1,caenorhabditis_elegans
31,ENSG00000016082,ISL1,homo_sapiens
32,ENSMUSG00000109398,ZNF582,mus_musculus
32,ENSG00000018869,ZNF582,homo_sapiens
33,ENSMUSG00000022676,SNAI2,mus_musculus
33,ENSXETG00000024006,SNAI2,xenopus_tropicalis
33,FBgn0001981,SNAI2,drosophila_melanogaster
33,ENSG00000019549,SNAI2,homo_sapiens
34,ENSMUSG00000027551,ZFP64,mus_musculus
34,ENSXETG00000012327,ZFP64,xenopus_tropicalis
34,ENSG00000020256,ZFP64,homo_sapiens
35,ENSMUSG00000070691,RUNX3,mus_musculus
35,ENSXETG00000001029,RUNX3,xenopus_tropicalis
35,FBgn0003300,RUNX3,drosophila_melanogaster
35,WBGene00004393,RUNX3,caenorhabditis_elegans
35,ENSG00000020633,RUNX3,homo_sapiens
36,ENSMUSG00000019878,HSF2,mus_musculus
36,ENSXETG00000023290,HSF2,xenopus_tropicalis
36,FBgn0001222,HSF2,drosophila_melanogaster
36,WBGene00002004,HSF2,caenorhabditis_elegans
36,ENSG00000025156,HSF2,homo_sapiens
37,ENSMUSG00000002108,NR1H3,mus_musculus
37,FBgn0000546,NR1H3,drosophila_melanogaster
37,ENSG00000025434,NR1H3,homo_sapiens
38,ENSMUSG00000008496,POU2F2,mus_musculus
38,ENSXETG00000033156,POU2F2,xenopus_tropicalis
38,FBgn0004394,POU2F2,drosophila_melanogaster
38,WBGene00000431,POU2F2,caenorhabditis_elegans
38,ENSG00000028277,POU2F2,homo_sapiens
39,ENSMUSG00000040187,ARNTL2,mus_musculus
39,FBgn0023094,ARNTL2,drosophila_melanogaster
39,ENSG00000029153,ARNTL2,homo_sapiens
40,ENSMUSG00000037608,BCLAF1,mus_musculus
40,ENSXETG00000033794,BCLAF1,xenopus_tropicalis
40,ENSG00000029363,BCLAF1,homo_sapiens
41,ENSXETG00000007740,HMGB3,xenopus_tropicalis
41,FBgn0011764,HMGB3,drosophila_melanogaster
41,WBGene00001972,HMGB3,caenorhabditis_elegans
41,ENSG00000029993,HMGB3,homo_sapiens
42,ENSMUSG00000025997,IKZF2,mus_musculus
42,ENSXETG00000003127,IKZF2,xenopus_tropicalis
42,ENSG00000030419,IKZF2,homo_sapiens
43,ENSMUSG00000048118,ARID4A,mus_musculus
43,ENSXETG00000011968,ARID4A,xenopus_tropicalis
43,FBgn0085451,ARID4A,drosophila_melanogaster
43,WBGene00044689,ARID4A,caenorhabditis_elegans
43,ENSG00000032219,ARID4A,homo_sapiens
44,ENSMUSG00000032405,PIAS1,mus_musculus
44,ENSXETG00000007813,PIAS1,xenopus_tropicalis
44,FBgn0003612,PIAS1,drosophila_melanogaster
44,WBGene00001574,PIAS1,caenorhabditis_elegans
44,ENSG00000033800,PIAS1,homo_sapiens
45,ENSMUSG00000039068,ZZZ3,mus_musculus
45,ENSXETG00000031959,ZZZ3,xenopus_tropicalis
45,FBgn0031876,ZZZ3,drosophila_melanogaster
45,ENSG00000036549,ZZZ3,homo_sapiens
46,ENSMUSG00000001657,HOXC8,mus_musculus
46,ENSXETG00000023476,HOXC8,xenopus_tropicalis
46,FBgn0003944,HOXC8,drosophila_melanogaster
46,ENSG00000037965,HOXC8,homo_sapiens
47,ENSMUSG00000040489,SOX30,mus_musculus
47,FBgn0039938,SOX30,drosophila_melanogaster
47,WBGene00001182,SOX30,caenorhabditis_elegans
47,ENSG00000039600,SOX30,homo_sapiens
48,ENSMUSG00000039759,THAP3,mus_musculus
48,ENSG00000041988,THAP3,homo_sapiens
49,ENSMUSG00000032033,BARX2,mus_musculus
49,ENSXETG00000029918,BARX2,xenopus_tropicalis
49,ENSG00000043039,BARX2,homo_sapiens
50,ENSMUSG00000061524,ZIC2,mus_musculus
50,ENSXETG00000018864,ZIC2,xenopus_tropicalis
50,FBgn0003002,ZIC2,drosophila_melanogaster
50,WBGene00004335,ZIC2,caenorhabditis_elegans
50,ENSG00000043355,ZIC2,homo_sapiens
51,ENSMUSG00000039841,ZNF800,mus_musculus
51,ENSXETG00000022250,ZNF800,xenopus_tropicalis
51,FBgn0037379,ZNF800,drosophila_melanogaster
51,ENSG00000048405,ZNF800,homo_sapiens
52,ENSMUSG00000069729,ARID1B,mus_musculus
52,ENSXETG00000033586,ARID1B,xenopus_tropicalis
52,FBgn0261885,ARID1B,drosophila_melanogaster
52,WBGene00002717,ARID1B,caenorhabditis_elegans
52,ENSG00000049618,ARID1B,homo_sapiens
53,ENSMUSG00000039521,FOXP3,mus_musculus
53,ENSXETG00000031498,FOXP3,xenopus_tropicalis
53,FBgn0262477,FOXP3,drosophila_melanogaster
53,WBGene00001439,FOXP3,caenorhabditis_elegans
53,ENSG00000049768,FOXP3,homo_sapiens
54,ENSMUSG00000029832,NFE2L3,mus_musculus
54,ENSXETG00000012174,NFE2L3,xenopus_tropicalis
54,FBgn0262975,NFE2L3,drosophila_melanogaster
54,ENSG00000050344,NFE2L3,homo_sapiens
55,ENSMUSG00000040310,ALX4,mus_musculus
55,ENSXETG00000007545,ALX4,xenopus_tropicalis
55,ENSG00000052850,ALX4,homo_sapiens
56,ENSMUSG00000033713,FOXN3,mus_musculus
56,ENSXETG00000016645,FOXN3,xenopus_tropicalis
56,FBgn0029504,FOXN3,drosophila_melanogaster
56,ENSG00000053254,FOXN3,homo_sapiens
57,ENSMUSG00000039219,ARID4B,mus_musculus
57,ENSXETG00000024651,ARID4B,xenopus_tropicalis
57,FBgn0085451,ARID4B,drosophila_melanogaster
57,WBGene00044689,ARID4B,caenorhabditis_elegans
57,ENSG00000054267,ARID4B,homo_sapiens
58,ENSMUSG00000050295,FOXC1,mus_musculus
58,ENSXETG00000000594,FOXC1,xenopus_tropicalis
58,FBgn0014143,FOXC1,drosophila_melanogaster
58,ENSG00000054598,FOXC1,homo_sapiens
59,ENSMUSG00000038151,PRDM1,mus_musculus
59,ENSXETG00000008674,PRDM1,xenopus_tropicalis
59,FBgn0035625,PRDM1,drosophila_melanogaster
59,WBGene00003847,PRDM1,caenorhabditis_elegans
59,ENSG00000057657,PRDM1,homo_sapiens
60,ENSMUSG00000055817,MTA3,mus_musculus
60,FBgn0027951,MTA3,drosophila_melanogaster
60,WBGene00003025,MTA3,caenorhabditis_elegans
60,ENSG00000057935,MTA3,homo_sapiens
61,ENSMUSG00000001156,MXD1,mus_musculus
61,ENSXETG00000033966,MXD1,xenopus_tropicalis
61,WBGene00003163,MXD1,caenorhabditis_elegans
61,ENSG00000059728,MXD1,homo_sapiens
62,ENSMUSG00000030189,YBX3,mus_musculus
62,ENSXETG00000016239,YBX3,xenopus_tropicalis
62,FBgn0022959,YBX3,drosophila_melanogaster
62,WBGene00000472,YBX3,caenorhabditis_elegans
62,ENSG00000060138,YBX3,homo_sapiens
63,ENSMUSG00000035041,CREB3L3,mus_musculus
63,WBGene00002783,CREB3L3,caenorhabditis_elegans
63,ENSG00000060566,CREB3L3,homo_sapiens
64,ENSMUSG00000069378,PRDM6,mus_musculus
64,ENSXETG00000010261,PRDM6,xenopus_tropicalis
64,WBGene00018567,PRDM6,caenorhabditis_elegans
64,ENSG00000061455,PRDM6,homo_sapiens
65,ENSMUSG00000052675,ZNF112,mus_musculus
65,FBgn0030005,ZNF112,drosophila_melanogaster
65,ENSG00000062370,ZNF112,homo_sapiens
66,ENSMUSG00000022738,GSC2,mus_musculus
66,FBgn0010323,GSC2,drosophila_melanogaster
66,WBGene00022837,GSC2,caenorhabditis_elegans
66,ENSG00000063515,GSC2,homo_sapiens
67,ENSMUSG00000031365,ZNF275,mus_musculus
67,FBgn0050443,ZNF275,drosophila_melanogaster
67,WBGene00009448,ZNF275,caenorhabditis_elegans
67,ENSG00000063587,ZNF275,homo_sapiens
68,ENSMUSG00000001510,DLX3,mus_musculus
68,ENSXETG00000021919,DLX3,xenopus_tropicalis
68,ENSG00000064195,DLX3,homo_sapiens
69,ENSMUSG00000042372,DMRT3,mus_musculus
69,ENSXETG00000015285,DMRT3,xenopus_tropicalis
69,FBgn0038851,DMRT3,drosophila_melanogaster
69,ENSG00000064218,DMRT3,homo_sapiens
70,ENSMUSG00000079033,BORCS8-MEF2B,mus_musculus
70,FBgn0011656,BORCS8-MEF2B,drosophila_melanogaster
70,WBGene00003182,BORCS8-MEF2B,caenorhabditis_elegans
70,ENSG00000064489,BORCS8-MEF2B,homo_sapiens
71,ENSMUSG00000036120,RFXANK,mus_musculus
71,ENSXETG00000013042,RFXANK,xenopus_tropicalis
71,FBgn0032171,RFXANK,drosophila_melanogaster
71,ENSG00000064490,RFXANK,homo_sapiens
72,ENSMUSG00000004842,POU1F1,mus_musculus
72,ENSXETG00000007637,POU1F1,xenopus_tropicalis
72,ENSG00000064835,POU1F1,homo_sapiens
73,ENSMUSG00000026098,PMS1,mus_musculus
73,ENSXETG00000009885,PMS1,xenopus_tropicalis
73,WBGene00004064,PMS1,caenorhabditis_elegans
73,ENSG00000064933,PMS1,homo_sapiens
74,ENSMUSG00000020232,HMG20B,mus_musculus
74,ENSXETG00000022092,HMG20B,xenopus_tropicalis
74,FBgn0026582,HMG20B,drosophila_melanogaster
74,WBGene00012209,HMG20B,caenorhabditis_elegans
74,ENSG00000064961,HMG20B,homo_sapiens
75,ENSMUSG00000024220,ZNF76,mus_musculus
75,ENSG00000065029,ZNF76,homo_sapiens
76,ENSMUSG00000003154,FOXJ2,mus_musculus
76,ENSXETG00000027639,FOXJ2,xenopus_tropicalis
76,ENSG00000065970,FOXJ2,homo_sapiens
77,ENSMUSG00000028639,YBX1,mus_musculus
77,ENSXETG00000013436,YBX1,xenopus_tropicalis
77,FBgn0022959,YBX1,drosophila_melanogaster
77,WBGene00000472,YBX1,caenorhabditis_elegans
77,ENSG00000065978,YBX1,homo_sapiens
78,ENSMUSG00000032897,NFYC,mus_musculus
78,ENSXETG00000025363,NFYC,xenopus_tropicalis
78,FBgn0029905,NFYC,drosophila_melanogaster
78,WBGene00017742,NFYC,caenorhabditis_elegans
78,ENSG00000066136,NFYC,homo_sapiens
79,ENSMUSG00000002111,SPI1,mus_musculus
79,ENSXETG00000007913,SPI1,xenopus_tropicalis
79,ENSG00000066336,SPI1,homo_sapiens
80,ENSMUSG00000022601,ZBTB11,mus_musculus
80,ENSXETG00000021364,ZBTB11,xenopus_tropicalis
80,FBgn0030003,ZBTB11,drosophila_melanogaster
80,WBGene00013734,ZBTB11,caenorhabditis_elegans
80,ENSG00000066422,ZBTB11,homo_sapiens
81,ENSMUSG00000022335,ZFAT,mus_musculus
81,ENSXETG00000020631,ZFAT,xenopus_tropicalis
81,WBGene00016154,ZFAT,caenorhabditis_elegans
81,ENSG00000066827,ZFAT,homo_sapiens
82,ENSMUSG00000094915,SP100,mus_musculus
82,ENSXETG00000032669,SP100,xenopus_tropicalis
82,ENSG00000067066,SP100,homo_sapiens
83,ENSMUSG00000000078,KLF6,mus_musculus
83,FBgn0040765,KLF6,drosophila_melanogaster
83,ENSG00000067082,KLF6,homo_sapiens
84,ENSMUSG00000079509,ZFY,mus_musculus
84,ENSXETG00000007785,ZFY,xenopus_tropicalis
84,FBgn0259785,ZFY,drosophila_melanogaster
84,ENSG00000067646,ZFY,homo_sapiens
85,ENSMUSG00000031885,CBFB,mus_musculus
85,ENSXETG00000020027,CBFB,xenopus_tropicalis
85,FBgn0013755,CBFB,drosophila_melanogaster
85,ENSG00000067955,CBFB,homo_sapiens
86,ENSMUSG00000030557,MEF2A,mus_musculus
86,ENSXETG00000018788,MEF2A,xenopus_tropicalis
86,FBgn0011656,MEF2A,drosophila_melanogaster
86,WBGene00003182,MEF2A,caenorhabditis_elegans
86,ENSG00000068305,MEF2A,homo_sapiens
87,ENSMUSG00000000134,TFE3,mus_musculus
87,ENSXETG00000019114,TFE3,xenopus_tropicalis
87,FBgn0263112,TFE3,drosophila_melanogaster
87,WBGene00020930,TFE3,caenorhabditis_elegans
87,ENSG00000068323,TFE3,homo_sapiens
88,ENSMUSG00000021506,PITX1,mus_musculus
88,ENSXETG00000010401,PITX1,xenopus_tropicalis
88,FBgn0020912,PITX1,drosophila_melanogaster
88,WBGene00006766,PITX1,caenorhabditis_elegans
88,ENSG00000069011,PITX1,homo_sapiens
89,ENSMUSG00000032238,RORA,mus_musculus
89,ENSXETG00000021123,RORA,xenopus_tropicalis
89,FBgn0000448,RORA,drosophila_melanogaster
89,WBGene00003622,RORA,caenorhabditis_elegans
89,ENSG00000069667,RORA,homo_sapiens
90,ENSMUSG00000028940,HES2,mus_musculus
90,ENSXETG00000001163,HES2,xenopus_tropicalis
90,ENSG00000069812,HES2,homo_sapiens
91,ENSMUSG00000000282,MNT,mus_musculus
91,ENSXETG00000019434,MNT,xenopus_tropicalis
91,FBgn0023215,MNT,drosophila_melanogaster
91,ENSG00000070444,MNT,homo_sapiens
92,ENSMUSG00000034430,ZXDC,mus_musculus
92,ENSXETG00000011547,ZXDC,xenopus_tropicalis
92,FBgn0030787,ZXDC,drosophila_melanogaster
92,ENSG00000070476,ZXDC,homo_sapiens
93,ENSMUSG00000020167,TCF3,mus_musculus
93,ENSXETG00000013589,TCF3,xenopus_tropicalis
93,FBgn0000413,TCF3,drosophila_melanogaster
93,WBGene00001949,TCF3,caenorhabditis_elegans
93,ENSG00000071564,TCF3,homo_sapiens
94,ENSMUSG00000035478,MBD3,mus_musculus
94,FBgn0027950,MBD3,drosophila_melanogaster
94,ENSG00000071655,MBD3,homo_sapiens
95,ENSMUSG00000020538,SREBF1,mus_musculus
95,ENSXETG00000012160,SREBF1,xenopus_tropicalis
95,FBgn0261283,SREBF1,drosophila_melanogaster
95,WBGene00004735,SREBF1,caenorhabditis_elegans
95,ENSG00000072310,SREBF1,homo_sapiens
96,ENSMUSG00000049470,AFF4,mus_musculus
96,ENSXETG00000004169,AFF4,xenopus_tropicalis
96,FBgn0041111,AFF4,drosophila_melanogaster
96,ENSG00000072364,AFF4,homo_sapiens
97,ENSMUSG00000031902,NFATC3,mus_musculus
97,ENSXETG00000005812,NFATC3,xenopus_tropicalis
97,FBgn0030505,NFATC3,drosophila_melanogaster
97,ENSG00000072736,NFATC3,homo_sapiens
98,ENSMUSG00000022510,TP63,mus_musculus
98,ENSXETG00000026303,TP63,xenopus_tropicalis
98,ENSG00000073282,TP63,homo_sapiens
99,ENSMUSG00000037935,SMARCE1,mus_musculus
99,ENSXETG00000021355,SMARCE1,xenopus_tropicalis
99,FBgn0030093,SMARCE1,drosophila_melanogaster
99,WBGene00022182,SMARCE1,caenorhabditis_elegans
99,ENSG00000073584,SMARCE1,homo_sapiens
100,ENSMUSG00000030180,KDM5A,mus_musculus
100,ENSXETG00000003642,KDM5A,xenopus_tropicalis
100,FBgn0031759,KDM5A,drosophila_melanogaster
100,WBGene00004319,KDM5A,caenorhabditis_elegans
100,ENSG00000073614,KDM5A,homo_sapiens
101,ENSMUSG00000001444,TBX21,mus_musculus
101,WBGene00044798,TBX21,caenorhabditis_elegans
101,ENSG00000073861,TBX21,homo_sapiens
102,ENSMUSG00000048402,GLI2,mus_musculus
102,FBgn0004859,GLI2,drosophila_melanogaster
102,WBGene00010936,GLI2,caenorhabditis_elegans
102,ENSG00000074047,GLI2,homo_sapiens
103,ENSMUSG00000030796,TEAD2,mus_musculus
103,ENSXETG00000003395,TEAD2,xenopus_tropicalis
103,FBgn0003345,TEAD2,drosophila_melanogaster
103,WBGene00001208,TEAD2,caenorhabditis_elegans
103,ENSG00000074219,TEAD2,homo_sapiens
104,ENSMUSG00000042439,ZNF532,mus_musculus
104,ENSXETG00000021148,ZNF532,xenopus_tropicalis
104,ENSG00000074657,ZNF532,homo_sapiens
105,ENSG00000075407,ZNF37A,homo_sapiens
106,ENSMUSG00000029135,FOSL2,mus_musculus
106,ENSXETG00000010208,FOSL2,xenopus_tropicalis
106,FBgn0001297,FOSL2,drosophila_melanogaster
106,ENSG00000075426,FOSL2,homo_sapiens
107,ENSMUSG00000004231,PAX2,mus_musculus
107,ENSXETG00000014206,PAX2,xenopus_tropicalis
107,FBgn0005561,PAX2,drosophila_melanogaster
107,WBGene00001204,PAX2,caenorhabditis_elegans
107,ENSG00000075891,PAX2,homo_sapiens
108,ENSMUSG00000040054,BAZ2A,mus_musculus
108,ENSXETG00000021782,BAZ2A,xenopus_tropicalis
108,FBgn0033636,BAZ2A,drosophila_melanogaster
108,WBGene00001470,BAZ2A,caenorhabditis_elegans
108,ENSG00000076108,BAZ2A,homo_sapiens
109,ENSMUSG00000017491,RARB,mus_musculus
109,ENSXETG00000007272,RARB,xenopus_tropicalis
109,ENSG00000077092,RARB,homo_sapiens
110,ENSMUSG00000025225,NFKB2,mus_musculus
110,ENSXETG00000000013,NFKB2,xenopus_tropicalis
110,FBgn0014018,NFKB2,drosophila_melanogaster
110,ENSG00000077150,NFKB2,homo_sapiens
112,ENSMUSG00000025423,PIAS2,mus_musculus
112,ENSXETG00000021519,PIAS2,xenopus_tropicalis
112,FBgn0003612,PIAS2,drosophila_melanogaster
112,WBGene00001574,PIAS2,caenorhabditis_elegans
112,ENSG00000078043,PIAS2,homo_sapiens
113,ENSMUSG00000001521,TULP3,mus_musculus
113,ENSXETG00000001314,TULP3,xenopus_tropicalis
113,ENSG00000078246,TULP3,homo_sapiens
114,ENSMUSG00000038227,HOXA9,mus_musculus
114,ENSXETG00000000724,HOXA9,xenopus_tropicalis
114,FBgn0000015,HOXA9,drosophila_melanogaster
114,ENSG00000078399,HOXA9,homo_sapiens
115,ENSMUSG00000026743,MLLT10,mus_musculus
115,ENSXETG00000007391,MLLT10,xenopus_tropicalis
115,FBgn0261238,MLLT10,drosophila_melanogaster
115,WBGene00006975,MLLT10,caenorhabditis_elegans
115,ENSG00000078403,MLLT10,homo_sapiens
116,ENSMUSG00000029026,TP73,mus_musculus
116,ENSXETG00000005019,TP73,xenopus_tropicalis
116,ENSG00000078900,TP73,homo_sapiens
117,ENSMUSG00000079192,SP140,mus_musculus
117,ENSXETG00000032669,SP140,xenopus_tropicalis
117,ENSG00000079263,SP140,homo_sapiens
118,ENSMUSG00000005442,CIC,mus_musculus
118,ENSXETG00000030813,CIC,xenopus_tropicalis
118,FBgn0262582,CIC,drosophila_melanogaster
118,ENSG00000079432,CIC,homo_sapiens
119,ENSMUSG00000040929,RFX3,mus_musculus
119,ENSXETG00000011698,RFX3,xenopus_tropicalis
119,FBgn0020379,RFX3,drosophila_melanogaster
119,WBGene00000914,RFX3,caenorhabditis_elegans
119,ENSG00000080298,RFX3,homo_sapiens
120,ENSMUSG00000000782,TCF7,mus_musculus
120,ENSXETG00000016100,TCF7,xenopus_tropicalis
120,FBgn0085432,TCF7,drosophila_melanogaster
120,WBGene00004077,TCF7,caenorhabditis_elegans
120,ENSG00000081059,TCF7,homo_sapiens
121,ENSMUSG00000005583,MEF2C,mus_musculus
121,ENSXETG00000007038,MEF2C,xenopus_tropicalis
121,FBgn0011656,MEF2C,drosophila_melanogaster
121,WBGene00003182,MEF2C,caenorhabditis_elegans
121,ENSG00000081189,MEF2C,homo_sapiens
122,ENSMUSG00000056824,ZNF510,mus_musculus
122,ENSG00000081386,ZNF510,homo_sapiens
123,ENSMUSG00000097333,ZNF506,mus_musculus
123,ENSG00000081665,ZNF506,homo_sapiens
124,ENSMUSG00000031870,PGR,mus_musculus
124,ENSXETG00000005482,PGR,xenopus_tropicalis
124,ENSG00000082175,PGR,homo_sapiens
125,ENSMUSG00000038615,NFE2L1,mus_musculus
125,ENSXETG00000021958,NFE2L1,xenopus_tropicalis
125,FBgn0262975,NFE2L1,drosophila_melanogaster
125,ENSG00000082641,NFE2L1,homo_sapiens
126,ENSMUSG00000022286,GRHL2,mus_musculus
126,ENSXETG00000006632,GRHL2,xenopus_tropicalis
126,FBgn0259211,GRHL2,drosophila_melanogaster
126,WBGene00001707,GRHL2,caenorhabditis_elegans
126,ENSG00000083307,GRHL2,homo_sapiens
127,ENSMUSG00000004500,ZNF324,mus_musculus
127,WBGene00018740,ZNF324,caenorhabditis_elegans
127,ENSG00000083812,ZNF324,homo_sapiens
128,ENSG00000083814,ZNF671,homo_sapiens
129,ENSMUSG00000034538,ZNF416,mus_musculus
129,ENSG00000083817,ZNF416,homo_sapiens
130,ENSG00000083828,ZNF586,homo_sapiens
131,ENSMUSG00000033961,ZNF446,mus_musculus
131,ENSG00000083838,ZNF446,homo_sapiens
133,ENSG00000083844,ZNF264,homo_sapiens
134,ENSMUSG00000029249,REST,mus_musculus
134,ENSXETG00000005323,REST,xenopus_tropicalis
134,FBgn0001180,REST,drosophila_melanogaster
134,WBGene00001824,REST,caenorhabditis_elegans
134,ENSG00000084093,REST,homo_sapiens
135,ENSMUSG00000037730,MYNN,mus_musculus
135,ENSXETG00000033131,MYNN,xenopus_tropicalis
135,FBgn0034643,MYNN,drosophila_melanogaster
135,ENSG00000085274,MYNN,homo_sapiens
136,ENSMUSG00000027684,MECOM,mus_musculus
136,ENSXETG00000022839,MECOM,xenopus_tropicalis
136,FBgn0032707,MECOM,drosophila_melanogaster
136,WBGene00001207,MECOM,caenorhabditis_elegans
136,ENSG00000085276,MECOM,homo_sapiens
