Index,GeneID,HumanName,Name,Species,complexity,isoforms,paralogues,motifs,complexity
43,ENSG00000032219,ARID4A,ARID4A,homo_sapiens,19,7,7,5,19
43,ENSMUSG00000048118,ARID4A,Arid4a,mus_musculus,5,3,7,2,5
43,ENSXETG00000011968,ARID4A,arid4a,xenopus_tropicalis,14,2,7,5,14
43,FBgn0085451,ARID4A,CG34422,drosophila_melanogaster,6,2,3,1,6
43,WBGene00044689,ARID4A,arid-1,caenorhabditis_elegans,5,1,3,1,5
44,ENSG00000033800,PIAS1,PIAS1,homo_sapiens,14,2,6,6,14
44,ENSMUSG00000032405,PIAS1,Pias1,mus_musculus,10,1,6,3,10
44,ENSXETG00000007813,PIAS1,pias1,xenopus_tropicalis,10,1,6,3,10
44,FBgn0003612,PIAS1,Su(var)2-10,drosophila_melanogaster,58,14,2,42,58
44,WBGene00001574,PIAS1,gei-17,caenorhabditis_elegans,46,15,1,30,46
47,ENSG00000039600,SOX30,SOX30,homo_sapiens,10,3,4,3,10
47,ENSMUSG00000040489,SOX30,Sox30,mus_musculus,6,1,4,1,6
47,FBgn0039938,SOX30,Sox102F,drosophila_melanogaster,9,4,1,4,9
47,WBGene00015716,SOX30,sox-4,caenorhabditis_elegans,4,1,2,1,4
50,ENSG00000043355,ZIC2,ZIC2,homo_sapiens,28,2,18,8,28
50,ENSMUSG00000061524,ZIC2,Zic2,mus_musculus,23,1,18,4,23
50,FBgn0003002,ZIC2,opa,drosophila_melanogaster,12,1,0,4,12
50,WBGene00004335,ZIC2,ref-2,caenorhabditis_elegans,18,3,3,12,18
56,ENSG00000053254,FOXN3,FOXN3,homo_sapiens,26,12,6,8,26
56,ENSMUSG00000033713,FOXN3,Foxn3,mus_musculus,18,7,6,5,18
56,ENSXETG00000016645,FOXN3,foxn3,xenopus_tropicalis,11,2,5,4,11
56,FBgn0029504,FOXN3,CHES-1-like,drosophila_melanogaster,10,4,2,4,10
56,WBGene00001440,FOXN3,fkh-8,caenorhabditis_elegans,5,2,1,2,5
57,ENSG00000054267,ARID4B,ARID4B,homo_sapiens,16,5,7,4,16
57,ENSMUSG00000039219,ARID4B,Arid4b,mus_musculus,18,6,7,5,18
57,ENSXETG00000024651,ARID4B,arid4b,xenopus_tropicalis,12,2,7,3,12
57,FBgn0085451,ARID4B,CG34422,drosophila_melanogaster,6,2,3,1,6
57,WBGene00044689,ARID4B,arid-1,caenorhabditis_elegans,5,1,3,1,5
59,ENSG00000057657,PRDM1,PRDM1,homo_sapiens,29,6,2,21,29
59,ENSMUSG00000038151,PRDM1,Prdm1,mus_musculus,14,2,2,10,14
59,ENSXETG00000008674,PRDM1,prdm1,xenopus_tropicalis,7,1,1,5,7
59,FBgn0035625,PRDM1,Blimp-1,drosophila_melanogaster,37,6,1,30,37
59,WBGene00003847,PRDM1,blmp-1,caenorhabditis_elegans,15,2,1,12,15
60,ENSG00000057935,MTA3,MTA3,homo_sapiens,26,6,5,15,26
60,ENSMUSG00000055817,MTA3,Mta3,mus_musculus,26,6,6,14,26
60,FBgn0027951,MTA3,MTA1-like,drosophila_melanogaster,22,4,2,16,22
60,WBGene00003025,MTA3,lin-40,caenorhabditis_elegans,18,4,2,12,18
61,ENSG00000059728,MXD1,MXD1,homo_sapiens,9,3,4,2,9
61,ENSMUSG00000001156,MXD1,Mxd1,mus_musculus,8,2,4,2,8
61,ENSXETG00000033966,MXD1,mxd1,xenopus_tropicalis,7,1,4,2,7
61,WBGene00003163,MXD1,mdl-1,caenorhabditis_elegans,3,1,1,1,3
62,ENSG00000060138,YBX3,YBX3,homo_sapiens,6,3,3,0,6
62,ENSMUSG00000030189,YBX3,Ybx3,mus_musculus,5,2,3,0,5
62,ENSXETG00000016239,YBX3,ybx3,xenopus_tropicalis,5,2,3,0,5
62,FBgn0022959,YBX3,yps,drosophila_melanogaster,3,2,1,0,3
62,WBGene00000472,YBX3,cey-1,caenorhabditis_elegans,1,1,0,0,1
63,ENSG00000060566,CREB3L3,CREB3L3,homo_sapiens,12,4,5,3,12
63,ENSMUSG00000035041,CREB3L3,Creb3l3,mus_musculus,7,1,5,1,7
63,WBGene00002783,CREB3L3,let-607,caenorhabditis_elegans,6,2,2,2,6
64,ENSG00000061455,PRDM6,PRDM6,homo_sapiens,9,1,3,5,9
64,ENSMUSG00000069378,PRDM6,Prdm6,mus_musculus,26,4,3,19,26
64,ENSXETG00000010261,PRDM6,prdm6,xenopus_tropicalis,8,1,3,4,8
64,WBGene00018567,PRDM6,F47E1.3,caenorhabditis_elegans,7,1,1,5,7
66,ENSG00000063515,GSC2,GSC2,homo_sapiens,15,1,13,1,15
66,ENSMUSG00000022738,GSC2,Gsc2,mus_musculus,15,1,13,1,15
66,FBgn0010323,GSC2,Gsc,drosophila_melanogaster,8,2,4,2,8
66,WBGene00022837,GSC2,ceh-45,caenorhabditis_elegans,12,2,8,2,12
68,ENSG00000064195,DLX3,DLX3,homo_sapiens,25,2,21,2,25
68,ENSMUSG00000001510,DLX3,Dlx3,mus_musculus,24,1,22,1,24
68,ENSXETG00000021919,DLX3,dlx3,xenopus_tropicalis,25,1,23,1,25
68,WBGene00000463,DLX3,ceh-43,caenorhabditis_elegans,11,1,9,1,11
69,ENSG00000064218,DMRT3,DMRT3,homo_sapiens,9,2,6,1,9
69,ENSMUSG00000042372,DMRT3,Dmrt3,mus_musculus,8,1,6,1,8
69,ENSXETG00000015285,DMRT3,dmrt3,xenopus_tropicalis,6,1,5,1,6
69,WBGene00017326,DMRT3,dmd-5,caenorhabditis_elegans,8,1,6,1,8
70,ENSG00000064489,BORCS8-MEF2B,BORCS8-MEF2B,homo_sapiens,9,2,5,2,9
70,FBgn0011656,BORCS8-MEF2B,Mef2,drosophila_melanogaster,15,7,1,7,15
70,WBGene00003182,BORCS8-MEF2B,mef-2,caenorhabditis_elegans,3,1,1,1,3
73,ENSG00000064933,PMS1,PMS1,homo_sapiens,25,15,2,7,25
73,ENSMUSG00000026098,PMS1,Pms1,mus_musculus,11,6,3,2,11
73,ENSXETG00000009885,PMS1,pms1,xenopus_tropicalis,4,1,2,1,4
73,WBGene00004064,PMS1,pms-2,caenorhabditis_elegans,3,2,1,0,3
74,ENSG00000064961,HMG20B,HMG20B,homo_sapiens,12,6,2,4,12
74,ENSMUSG00000020232,HMG20B,Hmg20b,mus_musculus,16,7,2,7,16
74,ENSXETG00000022092,HMG20B,hmg20b,xenopus_tropicalis,6,2,2,2,6
74,FBgn0026582,HMG20B,Hmg-2,drosophila_melanogaster,3,1,1,1,3
74,WBGene00012209,HMG20B,hmg-20,caenorhabditis_elegans,3,1,1,1,3
77,ENSG00000065978,YBX1,YBX1,homo_sapiens,7,4,3,0,7
77,ENSXETG00000013436,YBX1,ybx1,xenopus_tropicalis,5,1,3,1,5
77,FBgn0022959,YBX1,yps,drosophila_melanogaster,3,2,1,0,3
77,WBGene00000472,YBX1,cey-1,caenorhabditis_elegans,1,1,0,0,1
86,ENSG00000068305,MEF2A,MEF2A,homo_sapiens,21,9,5,7,21
86,ENSMUSG00000030557,MEF2A,Mef2a,mus_musculus,16,6,5,5,16
86,ENSXETG00000018788,MEF2A,mef2a,xenopus_tropicalis,7,2,3,2,7
86,FBgn0011656,MEF2A,Mef2,drosophila_melanogaster,15,7,1,7,15
86,WBGene00003182,MEF2A,mef-2,caenorhabditis_elegans,3,1,1,1,3
87,ENSG00000068323,TFE3,TFE3,homo_sapiens,6,1,4,1,6
87,ENSMUSG00000000134,TFE3,Tfe3,mus_musculus,19,8,4,7,19
87,ENSXETG00000019114,TFE3,tfe3,xenopus_tropicalis,6,1,4,1,6
87,FBgn0263112,TFE3,Mitf,drosophila_melanogaster,9,4,1,4,9
87,WBGene00020930,TFE3,hlh-30,caenorhabditis_elegans,24,12,1,12,24
88,ENSG00000069011,PITX1,PITX1,homo_sapiens,25,5,13,7,25
88,ENSMUSG00000021506,PITX1,Pitx1,mus_musculus,18,2,13,3,18
88,ENSXETG00000010401,PITX1,pitx1,xenopus_tropicalis,18,1,14,3,18
88,FBgn0020912,PITX1,Ptx1,drosophila_melanogaster,13,3,4,6,13
88,WBGene00006766,PITX1,unc-30,caenorhabditis_elegans,16,4,8,4,16
89,ENSG00000069667,RORA,RORA,homo_sapiens,18,6,8,4,18
89,ENSMUSG00000032238,RORA,Rora,mus_musculus,12,2,8,2,12
89,ENSXETG00000021123,RORA,rora,xenopus_tropicalis,12,1,10,1,12
89,FBgn0000448,RORA,Hr46,drosophila_melanogaster,21,7,8,6,21
89,WBGene00003622,RORA,nhr-23,caenorhabditis_elegans,21,6,10,5,21
93,ENSG00000071564,TCF3,TCF3,homo_sapiens,28,15,3,11,28
93,ENSMUSG00000020167,TCF3,Tcf3,mus_musculus,26,12,3,11,26
93,ENSXETG00000013589,TCF3,tcf3,xenopus_tropicalis,6,1,0,2,6
93,FBgn0000413,TCF3,da,drosophila_melanogaster,7,3,1,3,7
93,WBGene00001949,TCF3,hlh-2,caenorhabditis_elegans,3,1,1,1,3
95,ENSG00000072310,SREBF1,SREBF1,homo_sapiens,13,7,2,4,13
95,ENSMUSG00000020538,SREBF1,Srebf1,mus_musculus,8,3,2,3,8
95,ENSXETG00000012160,SREBF1,srebf1,xenopus_tropicalis,5,1,2,2,5
95,FBgn0261283,SREBF1,HLH106,drosophila_melanogaster,9,4,1,4,9
95,WBGene00004735,SREBF1,sbp-1,caenorhabditis_elegans,3,1,1,1,3
99,ENSG00000073584,SMARCE1,SMARCE1,homo_sapiens,24,13,1,10,24
99,ENSMUSG00000037935,SMARCE1,Smarce1,mus_musculus,3,1,1,1,3
99,ENSXETG00000021355,SMARCE1,smarce1,xenopus_tropicalis,8,2,1,5,8
99,FBgn0030093,SMARCE1,dalao,drosophila_melanogaster,3,1,1,1,3
99,WBGene00022182,SMARCE1,swsn-3,caenorhabditis_elegans,3,1,1,1,3
100,ENSG00000073614,KDM5A,KDM5A,homo_sapiens,30,6,5,19,30
100,ENSMUSG00000030180,KDM5A,Kdm5a,mus_musculus,14,2,5,7,14
100,ENSXETG00000003642,KDM5A,kdm5a,xenopus_tropicalis,12,1,5,6,12
100,WBGene00004319,KDM5A,rbr-2,caenorhabditis_elegans,11,2,1,8,11
101,ENSG00000073861,TBX21,TBX21,homo_sapiens,6,1,4,1,6
101,ENSMUSG00000001444,TBX21,Tbx21,mus_musculus,2,1,4,1,2
101,WBGene00006554,TBX21,tbx-35,caenorhabditis_elegans,14,1,12,1,14
103,ENSG00000074219,TEAD2,TEAD2,homo_sapiens,16,7,4,5,16
103,ENSMUSG00000030796,TEAD2,Tead2,mus_musculus,9,2,5,2,9
103,ENSXETG00000003395,TEAD2,tead4,xenopus_tropicalis,7,2,1,4,7
103,FBgn0003345,TEAD2,sd,drosophila_melanogaster,43,21,1,21,43
103,WBGene00001208,TEAD2,egl-44,caenorhabditis_elegans,11,5,1,5,11
107,ENSG00000075891,PAX2,PAX2,homo_sapiens,21,6,9,6,21
107,ENSMUSG00000004231,PAX2,Pax2,mus_musculus,15,3,9,3,15
107,ENSXETG00000014206,PAX2,pax2,xenopus_tropicalis,13,2,9,2,13
107,FBgn0005561,PAX2,sv,drosophila_melanogaster,24,7,10,7,24
107,WBGene00001204,PAX2,egl-38,caenorhabditis_elegans,9,1,7,1,9
108,ENSG00000076108,BAZ2A,BAZ2A,homo_sapiens,32,9,8,15,32
108,ENSMUSG00000040054,BAZ2A,Baz2a,mus_musculus,18,2,8,8,18
108,ENSXETG00000021782,BAZ2A,baz2a,xenopus_tropicalis,13,1,8,4,13
108,FBgn0033636,BAZ2A,tou,drosophila_melanogaster,31,5,5,21,31
108,WBGene00001470,BAZ2A,flt-1,caenorhabditis_elegans,9,1,4,4,9
112,ENSG00000078043,PIAS2,PIAS2,homo_sapiens,28,8,6,14,28
112,ENSMUSG00000025423,PIAS2,Pias2,mus_musculus,18,3,6,9,18
112,ENSXETG00000021519,PIAS2,pias2,xenopus_tropicalis,12,2,6,4,12
112,FBgn0003612,PIAS2,Su(var)2-10,drosophila_melanogaster,58,14,2,42,58
112,WBGene00001574,PIAS2,gei-17,caenorhabditis_elegans,46,15,1,30,46
113,ENSG00000078246,TULP3,TULP3,homo_sapiens,12,6,6,0,12
113,ENSMUSG00000001521,TULP3,Tulp3,mus_musculus,12,3,9,0,12
113,ENSXETG00000001314,TULP3,tulp3,xenopus_tropicalis,9,2,6,1,9
113,FBgn0015721,TULP3,ktub,drosophila_melanogaster,5,2,3,0,5
113,WBGene00006655,TULP3,tub-1,caenorhabditis_elegans,4,1,3,0,4
115,ENSG00000078403,MLLT10,MLLT10,homo_sapiens,30,10,9,11,30
115,ENSMUSG00000026743,MLLT10,Mllt10,mus_musculus,18,4,9,5,18
115,ENSXETG00000007391,MLLT10,mllt10,xenopus_tropicalis,17,2,9,6,17
115,FBgn0261238,MLLT10,Alh,drosophila_melanogaster,22,0,4,5,22
115,WBGene00006975,MLLT10,zfp-1,caenorhabditis_elegans,13,4,4,5,13
120,ENSG00000081059,TCF7,TCF7,homo_sapiens,27,14,4,9,27
120,ENSMUSG00000000782,TCF7,Tcf7,mus_musculus,8,2,4,2,8
120,ENSXETG00000016100,TCF7,tcf7,xenopus_tropicalis,6,1,4,1,6
120,FBgn0085432,TCF7,pan,drosophila_melanogaster,19,9,1,9,19
120,WBGene00004077,TCF7,pop-1,caenorhabditis_elegans,3,1,1,1,3
121,ENSG00000081189,MEF2C,MEF2C,homo_sapiens,56,27,5,24,56
121,ENSMUSG00000005583,MEF2C,Mef2c,mus_musculus,57,27,5,25,57
121,ENSXETG00000007038,MEF2C,mef2c,xenopus_tropicalis,7,2,3,2,7
121,FBgn0011656,MEF2C,Mef2,drosophila_melanogaster,15,7,1,7,15
121,WBGene00003182,MEF2C,mef-2,caenorhabditis_elegans,3,1,1,1,3
126,ENSG00000083307,GRHL2,GRHL2,homo_sapiens,9,3,6,0,9
126,ENSMUSG00000022286,GRHL2,Grhl2,mus_musculus,10,4,6,0,10
126,ENSXETG00000006632,GRHL2,grhl2,xenopus_tropicalis,7,1,6,0,7
126,FBgn0259211,GRHL2,grh,drosophila_melanogaster,10,8,2,0,10
126,WBGene00001707,GRHL2,grh-1,caenorhabditis_elegans,4,3,1,0,4
135,ENSG00000085274,MYNN,MYNN,homo_sapiens,45,3,16,26,45
135,ENSMUSG00000037730,MYNN,Mynn,mus_musculus,34,2,15,17,34
135,ENSXETG00000009218,MYNN,mynn,xenopus_tropicalis,29,2,17,10,29
135,WBGene00016154,MYNN,C27A12.2,caenorhabditis_elegans,7,1,1,5,7
136,ENSG00000085276,MECOM,MECOM,homo_sapiens,114,17,2,95,114
136,ENSMUSG00000027684,MECOM,Mecom,mus_musculus,96,11,2,83,96
136,ENSXETG00000022839,MECOM,mecom,xenopus_tropicalis,11,1,2,8,11
136,FBgn0011236,MECOM,ken,drosophila_melanogaster,6,1,3,3,6
136,WBGene00001207,MECOM,egl-43,caenorhabditis_elegans,8,2,1,6,8
138,ENSG00000086102,NFX1,NFX1,homo_sapiens,12,3,2,7,12
138,ENSMUSG00000028423,NFX1,Nfx1,mus_musculus,12,3,2,7,12
138,ENSXETG00000014997,NFX1,nfx1,xenopus_tropicalis,7,1,2,4,7
138,FBgn0001978,NFX1,stc,drosophila_melanogaster,14,4,2,8,14
138,WBGene00007048,NFX1,nfx-1,caenorhabditis_elegans,4,1,1,2,4
139,ENSG00000087510,TFAP2C,TFAP2C,homo_sapiens,7,2,5,0,7
139,ENSMUSG00000028640,TFAP2C,Tfap2c,mus_musculus,8,3,5,0,8
139,ENSXETG00000012025,TFAP2C,tfap2c,xenopus_tropicalis,6,1,5,0,6
139,FBgn0261953,TFAP2C,TfAP-2,drosophila_melanogaster,7,6,1,0,7
139,WBGene00019424,TFAP2C,aptf-1,caenorhabditis_elegans,5,1,4,0,5
142,ENSG00000088881,EBF4,EBF4,homo_sapiens,8,4,4,0,8
142,ENSMUSG00000053552,EBF4,Ebf4,mus_musculus,7,3,4,0,7
142,ENSXETG00000030294,EBF4,EBF4,xenopus_tropicalis,5,1,4,0,5
142,FBgn0001319,EBF4,kn,drosophila_melanogaster,6,5,1,0,6
142,WBGene00006743,EBF4,unc-3,caenorhabditis_elegans,2,1,1,0,2
143,ENSG00000089116,LHX5,LHX5,homo_sapiens,16,1,12,3,16
143,ENSMUSG00000029595,LHX5,Lhx5,mus_musculus,16,1,12,3,16
143,ENSXETG00000017665,LHX5,lhx5,xenopus_tropicalis,17,1,13,3,17
143,FBgn0026411,LHX5,Lim1,drosophila_melanogaster,13,2,7,4,13
143,WBGene00003000,LHX5,lin-11,caenorhabditis_elegans,11,1,7,3,11
146,ENSG00000089486,CDIP1,CDIP1,homo_sapiens,14,12,2,0,14
146,ENSMUSG00000004071,CDIP1,Cdip1,mus_musculus,7,4,3,0,7
146,ENSXETG00000013161,CDIP1,cdip1,xenopus_tropicalis,5,1,2,2,5
146,FBgn0052280,CDIP1,CG32280,drosophila_melanogaster,6,4,2,0,6
146,WBGene00009484,CDIP1,F36G3.3,caenorhabditis_elegans,2,1,1,0,2
147,ENSG00000089775,ZBTB25,ZBTB25,homo_sapiens,29,4,16,9,29
147,ENSMUSG00000056459,ZBTB25,Zbtb25,mus_musculus,33,6,15,12,33
147,ENSXETG00000022529,ZBTB25,zbtb25,xenopus_tropicalis,21,1,17,3,21
147,WBGene00016154,ZBTB25,C27A12.2,caenorhabditis_elegans,7,1,1,5,7
148,ENSG00000089902,RCOR1,RCOR1,homo_sapiens,9,1,5,3,9
148,ENSMUSG00000037896,RCOR1,Rcor1,mus_musculus,13,2,5,6,13
148,ENSXETG00000012743,RCOR1,rcor1,xenopus_tropicalis,7,1,5,1,7
148,FBgn0261573,RCOR1,CoRest,drosophila_melanogaster,36,10,2,24,36
148,WBGene00022278,RCOR1,rcor-1,caenorhabditis_elegans,20,4,3,13,20
149,ENSG00000090447,TFAP4,TFAP4,homo_sapiens,5,2,1,2,5
149,ENSMUSG00000005718,TFAP4,Tfap4,mus_musculus,3,1,1,1,3
149,ENSXETG00000033922,TFAP4,tfap4,xenopus_tropicalis,3,1,1,1,3
149,FBgn0001994,TFAP4,crp,drosophila_melanogaster,5,2,1,2,5
149,WBGene00001955,TFAP4,hlh-11,caenorhabditis_elegans,10,5,1,4,10
151,ENSG00000090661,CERS4,CERS4,homo_sapiens,23,9,5,9,23
151,ENSMUSG00000008206,CERS4,Cers4,mus_musculus,9,2,5,2,9
151,FBgn0040918,CERS4,schlank,drosophila_melanogaster,7,2,1,4,7
151,WBGene00002043,CERS4,hyl-1,caenorhabditis_elegans,11,4,3,4,11
152,ENSG00000091010,POU4F3,POU4F3,homo_sapiens,19,1,16,2,19
152,ENSMUSG00000024497,POU4F3,Pou4f3,mus_musculus,18,1,15,2,18
152,ENSXETG00000032363,POU4F3,POU4F3,xenopus_tropicalis,20,1,16,3,20
