id,gene,isoforms,paralogues,motifs,complexity,name,species
,ENSXETG00000016573,2,23,4,29,dlx6,xenopus_tropicalis
,FBgn0000157,3,9,3,15,Dll,drosophila_melanogaster
11,ENSG00000006468,14,13,9,36,ETV1,homo_sapiens
,ENSMUSG00000004151,11,13,7,31,Etv1,mus_musculus
,ENSXETG00000005062,2,12,4,18,etv1,xenopus_tropicalis
,FBgn0039225,2,5,2,9,Ets96B,drosophila_melanogaster
,WBGene00016600,2,2,2,6,ets-5,caenorhabditis_elegans
,WBGene00020368,1,2,1,4,ast-1,caenorhabditis_elegans
12,ENSG00000006704,5,2,22,29,GTF2IRD1,homo_sapiens
,ENSMUSG00000023079,19,2,79,100,Gtf2ird1,mus_musculus
13,ENSG00000007372,15,9,24,39,PAX6,homo_sapiens
,ENSMUSG00000027168,11,9,18,36,Pax6,mus_musculus
,ENSXETG00000008175,2,9,4,15,pax6,xenopus_tropicalis
,ENSXETG00000032534,1,9,2,12,0,xenopus_tropicalis
,FBgn0005558,4,10,7,21,ey,drosophila_melanogaster
,FBgn0019650,2,10,4,14,toy,drosophila_melanogaster
,WBGene00006870,3,7,4,14,vab-3,caenorhabditis_elegans
14,ENSG00000007866,3,4,1,8,TEAD3,homo_sapiens
,ENSMUSG00000002249,4,5,4,13,Tead3,mus_musculus
,FBgn0003345,21,1,21,43,sd,drosophila_melanogaster
,WBGene00001208,5,1,5,11,egl-44,caenorhabditis_elegans
15,ENSG00000007968,1,6,0,7,E2F2,homo_sapiens
,ENSMUSG00000018983,1,6,0,7,E2f2,mus_musculus
,FBgn0011766,6,2,0,8,E2f1,drosophila_melanogaster
,WBGene00001162,4,2,0,2,efl-2,caenorhabditis_elegans
16,ENSG00000008083,2,5,6,13,JARID2,homo_sapiens
,ENSMUSG00000038518,8,5,13,26,Jarid2,mus_musculus
,ENSXETG00000015433,1,5,3,9,jarid2,xenopus_tropicalis
,FBgn0036004,1,2,3,6,Jarid2,drosophila_melanogaster
,WBGene00004319,2,1,8,11,rbr-2,caenorhabditis_elegans
17,ENSG00000008196,2,5,0,7,TFAP2B,homo_sapiens
,ENSMUSG00000025927,3,5,0,8,Tfap2b,mus_musculus
,ENSXETG00000021674,2,5,0,7,tfap2b,xenopus_tropicalis
,FBgn0261953,6,1,0,7,TfAP-2,drosophila_melanogaster
,WBGene00019424,1,4,0,5,aptf-1,caenorhabditis_elegans
18,ENSG00000008197,1,5,0,6,TFAP2D,homo_sapiens
,ENSMUSG00000042596,1,5,0,6,Tfap2d,mus_musculus
,ENSXETG00000032997,1,5,0,6,TFAP2D,xenopus_tropicalis
,FBgn0261953,6,1,0,7,TfAP-2,drosophila_melanogaster
,WBGene00019424,1,4,0,5,aptf-1,caenorhabditis_elegans
19,ENSG00000008441,11,4,11,26,NFIX,homo_sapiens
,ENSMUSG00000001911,5,4,5,14,Nfix,mus_musculus
,ENSXETG00000016718,2,4,2,8,nfix,xenopus_tropicalis
,FBgn0042696,2,1,2,5,NfI,drosophila_melanogaster
,WBGene00003592,3,1,3,7,nfi-1,caenorhabditis_elegans
20,ENSG00000009307,13,1,0,14,CSDE1,homo_sapiens
,ENSMUSG00000068823,7,1,0,8,Csde1,mus_musculus
,ENSXETG00000021448,2,1,1,4,csde1,xenopus_tropicalis
,FBgn0263352,5,1,0,6,Unr,drosophila_melanogaster
21,ENSG00000009709,3,9,6,18,PAX7,homo_sapiens
,ENSMUSG00000028736,2,9,4,15,Pax7,mus_musculus
,ENSXETG00000018527,1,9,3,13,pax7,xenopus_tropicalis
,FBgn0001147,1,10,2,13,gsb-n,drosophila_melanogaster
,FBgn0001148,1,10,2,13,gsb,drosophila_melanogaster
,FBgn0003145,2,10,4,16,prd,drosophila_melanogaster
,WBGene00003939,1,7,2,10,pax-3,caenorhabditis_elegans
22,ENSG00000009950,7,3,5,15,MLXIPL,homo_sapiens
,ENSMUSG00000005373,4,3,3,10,Mlxipl,mus_musculus
,ENSXETG00000030310,1,3,0,7,MLXIPL,xenopus_tropicalis
,FBgn0032940,11,2,11,24,Mio,drosophila_melanogaster
,WBGene00003378,2,2,2,6,mml-1,caenorhabditis_elegans
23,ENSG00000010030,8,12,12,32,ETV7,homo_sapiens
,FBgn0000097,5,3,10,18,aop,drosophila_melanogaster
24,ENSG00000010539,7,2,30,39,ZNF200,homo_sapiens
25,ENSG00000010818,3,4,12,19,HIVEP2,homo_sapiens
,ENSMUSG00000015501,4,4,14,22,Hivep2,mus_musculus
,ENSXETG00000023284,1,3,7,8,hivep2,xenopus_tropicalis
,FBgn0003396,6,1,42,49,shn,drosophila_melanogaster
,WBGene00004862,14,1,51,71,sma-9,caenorhabditis_elegans
26,ENSG00000011052,3,10,0,13,NME1-NME2,homo_sapiens
27,ENSG00000011451,6,2,23,31,WIZ,homo_sapiens
,ENSMUSG00000024050,5,2,16,23,Wiz,mus_musculus
,ENSXETG00000013026,1,2,8,11,wiz,xenopus_tropicalis
28,ENSG00000011590,3,3,7,13,ZBTB32,homo_sapiens
,ENSMUSG00000006310,2,3,2,7,Zbtb32,mus_musculus
29,ENSG00000012504,7,14,4,25,NR1H4,homo_sapiens
,ENSMUSG00000047638,3,15,3,21,Nr1h4,mus_musculus
,ENSXETG00000030372,1,14,1,16,NR1H4,xenopus_tropicalis
,FBgn0000546,6,2,6,14,EcR,drosophila_melanogaster
30,ENSG00000012817,6,5,18,29,KDM5D,homo_sapiens
,ENSMUSG00000056673,2,5,7,14,Kdm5d,mus_musculus
,ENSXETG00000007178,1,5,4,10,kdm5c,xenopus_tropicalis
,WBGene00004319,2,1,8,11,rbr-2,caenorhabditis_elegans
31,ENSG00000016082,2,12,6,20,ISL1,homo_sapiens
,ENSMUSG00000042258,2,12,6,20,Isl1,mus_musculus
,ENSXETG00000004188,1,13,2,16,isl1,xenopus_tropicalis
,FBgn0003896,3,7,9,19,tup,drosophila_melanogaster
,WBGene00002989,1,7,3,11,lim-7,caenorhabditis_elegans
32,ENSG00000018869,5,22,35,62,ZNF582,homo_sapiens
33,ENSG00000019549,2,5,10,17,SNAI2,homo_sapiens
,ENSMUSG00000022676,1,5,5,11,Snai2,mus_musculus
,ENSXETG00000024006,1,2,5,8,snai2,xenopus_tropicalis
,FBgn0001981,1,7,5,13,esg,drosophila_melanogaster
,FBgn0001983,1,7,6,14,wor,drosophila_melanogaster
,FBgn0003448,1,7,5,13,sna,drosophila_melanogaster
34,ENSG00000020256,9,5,65,79,ZFP64,homo_sapiens
,ENSMUSG00000027551,4,5,24,33,Zfp64,mus_musculus
,ENSXETG00000012327,1,4,8,13,zfp64,xenopus_tropicalis
,WBGene00009553,1,1,5,7,F39B2.1,caenorhabditis_elegans
35,ENSG00000020633,3,3,3,9,RUNX3,homo_sapiens
,ENSMUSG00000070691,2,3,2,7,Runx3,mus_musculus
,ENSXETG00000001029,1,3,1,5,runx3,xenopus_tropicalis
,FBgn0002576,2,4,2,8,lz,drosophila_melanogaster
,FBgn0003300,3,4,3,10,run,drosophila_melanogaster
,FBgn0083981,3,4,3,10,RunxA,drosophila_melanogaster
,FBgn0259162,1,4,1,6,RunxB,drosophila_melanogaster
,WBGene00004393,1,1,1,3,rnt-1,caenorhabditis_elegans
36,ENSG00000025156,3,3,0,6,HSF2,homo_sapiens
,ENSMUSG00000019878,1,4,0,5,Hsf2,mus_musculus
,ENSXETG00000023290,1,5,0,6,hsf2,xenopus_tropicalis
,FBgn0001222,4,1,0,5,Hsf,drosophila_melanogaster
,WBGene00002004,1,1,0,2,hsf-1,caenorhabditis_elegans
37,ENSG00000025434,17,14,14,45,NR1H3,homo_sapiens
,ENSMUSG00000002108,4,15,4,22,Nr1h3,mus_musculus
,FBgn0000546,6,2,6,14,EcR,drosophila_melanogaster
38,ENSG00000028277,14,16,19,49,POU2F2,homo_sapiens
,ENSMUSG00000008496,9,15,16,25,Pou2f2,mus_musculus
,ENSXETG00000033156,1,16,4,21,POU2F2,xenopus_tropicalis
,FBgn0004394,4,5,8,15,pdm2,drosophila_melanogaster
,FBgn0085424,3,5,6,14,nub,drosophila_melanogaster
,WBGene00000441,3,3,5,11,ceh-18,caenorhabditis_elegans
39,ENSG00000029153,8,13,24,45,ARNTL2,homo_sapiens
,ENSMUSG00000040187,4,13,12,29,Arntl2,mus_musculus
,FBgn0023094,1,6,3,10,cyc,drosophila_melanogaster
40,ENSG00000029363,9,3,0,9,BCLAF1,homo_sapiens
,ENSMUSG00000037608,3,3,0,6,Bclaf1,mus_musculus
,ENSXETG00000033794,2,3,6,11,BCLAF1,xenopus_tropicalis
41,ENSG00000029993,5,4,10,19,HMGB3,homo_sapiens
,ENSXETG00000007740,1,3,4,8,hmgb3,xenopus_tropicalis
,FBgn0011764,7,1,14,22,Dsp1,drosophila_melanogaster
,WBGene00001972,5,1,10,16,hmg-1.2,caenorhabditis_elegans
42,ENSG00000030419,8,6,16,30,IKZF2,homo_sapiens
,ENSMUSG00000025997,7,6,17,30,Ikzf2,mus_musculus
,ENSXETG00000003127,1,6,4,11,ikzf2,xenopus_tropicalis
43,ENSG00000032219,7,7,5,19,ARID4A,homo_sapiens
,ENSMUSG00000048118,3,7,2,5,Arid4a,mus_musculus
,ENSXETG00000011968,2,7,5,14,arid4a,xenopus_tropicalis
,FBgn0085451,2,3,1,6,CG34422,drosophila_melanogaster
,WBGene00044689,1,3,1,5,arid-1,caenorhabditis_elegans
44,ENSG00000033800,2,6,6,14,PIAS1,homo_sapiens
,ENSMUSG00000032405,1,6,3,10,Pias1,mus_musculus
,ENSXETG00000007813,1,6,3,10,pias1,xenopus_tropicalis
,FBgn0003612,14,2,42,58,Su(var)2-10,drosophila_melanogaster
,WBGene00001574,15,1,30,46,gei-17,caenorhabditis_elegans
45,ENSG00000036549,4,1,4,9,ZZZ3,homo_sapiens
,ENSMUSG00000039068,5,1,10,16,Zzz3,mus_musculus
,ENSXETG00000031959,1,1,2,4,ZZZ3,xenopus_tropicalis
,FBgn0031876,1,1,0,2,Atac1,drosophila_melanogaster
46,ENSG00000037965,1,16,1,18,HOXC8,homo_sapiens
,ENSMUSG00000001657,1,15,1,16,Hoxc8,mus_musculus
,ENSXETG00000023476,1,14,2,17,hoxc8,xenopus_tropicalis
,FBgn0000014,4,6,4,14,abd-A,drosophila_melanogaster
,FBgn0003944,6,6,6,18,Ubx,drosophila_melanogaster
47,ENSG00000039600,3,4,3,10,SOX30,homo_sapiens
,ENSMUSG00000040489,1,4,1,6,Sox30,mus_musculus
,FBgn0039938,4,1,4,9,Sox102F,drosophila_melanogaster
,WBGene00001182,6,2,6,14,egl-13,caenorhabditis_elegans
,WBGene00015716,1,2,1,4,sox-4,caenorhabditis_elegans
48,ENSG00000041988,4,6,4,14,THAP3,homo_sapiens
,ENSMUSG00000039759,2,3,2,7,Thap3,mus_musculus
49,ENSG00000043039,1,16,1,2,BARX2,homo_sapiens
,ENSMUSG00000032033,1,16,1,18,Barx2,mus_musculus
,ENSXETG00000029918,1,16,1,18,BARX2,xenopus_tropicalis
50,ENSG00000043355,2,18,8,28,ZIC2,homo_sapiens
,ENSMUSG00000061524,1,18,4,23,Zic2,mus_musculus
,FBgn0003002,1,0,4,12,opa,drosophila_melanogaster
,WBGene00004335,3,3,12,18,ref-2,caenorhabditis_elegans
,WBGene00006604,2,3,5,10,tra-1,caenorhabditis_elegans
,WBGene00010936,1,3,4,8,ztf-14,caenorhabditis_elegans
51,ENSG00000048405,7,1,14,22,ZNF800,homo_sapiens
,ENSMUSG00000039841,5,1,14,20,Zfp800,mus_musculus
,ENSXETG00000022250,1,1,6,8,znf800,xenopus_tropicalis
,FBgn0037379,2,1,2,5,CG10979,drosophila_melanogaster
52,ENSG00000049618,6,7,6,19,ARID1B,homo_sapiens
,ENSMUSG00000069729,3,7,3,13,Arid1b,mus_musculus
,ENSXETG00000011226,1,6,3,10,arid1b,xenopus_tropicalis
,ENSXETG00000033586,1,6,2,3,0,xenopus_tropicalis
,FBgn0261885,6,3,6,15,osa,drosophila_melanogaster
53,ENSG00000049768,6,14,6,26,FOXP3,homo_sapiens
,ENSMUSG00000039521,4,16,4,24,Foxp3,mus_musculus
,ENSXETG00000031498,1,14,1,16,FOXP3,xenopus_tropicalis
54,ENSG00000050344,2,7,1,10,NFE2L3,homo_sapiens
,ENSMUSG00000029832,2,7,1,10,Nfe2l3,mus_musculus
,ENSXETG00000012174,1,7,2,10,nfe2l3,xenopus_tropicalis
,FBgn0262975,16,1,16,33,cnc,drosophila_melanogaster
55,ENSG00000052850,1,15,2,18,ALX4,homo_sapiens
,ENSMUSG00000040310,2,13,3,18,Alx4,mus_musculus
,ENSXETG00000007545,2,13,2,17,alx4,xenopus_tropicalis
,FBgn0020617,1,10,2,13,Rx,drosophila_melanogaster
56,ENSG00000053254,12,6,8,26,FOXN3,homo_sapiens
,ENSMUSG00000033713,7,6,5,18,Foxn3,mus_musculus
,ENSXETG00000016645,2,5,4,11,foxn3,xenopus_tropicalis
,FBgn0029504,4,2,4,10,CHES-1-like,drosophila_melanogaster
,WBGene00001440,2,1,2,5,fkh-8,caenorhabditis_elegans
57,ENSG00000054267,5,7,4,16,ARID4B,homo_sapiens
,ENSMUSG00000039219,6,7,5,18,Arid4b,mus_musculus
,ENSXETG00000024651,2,7,3,12,arid4b,xenopus_tropicalis
,FBgn0085451,2,3,1,6,CG34422,drosophila_melanogaster
,WBGene00044689,1,3,1,5,arid-1,caenorhabditis_elegans
58,ENSG00000054598,1,24,1,26,FOXC1,homo_sapiens
,ENSMUSG00000050295,1,19,1,21,Foxc1,mus_musculus
,ENSXETG00000000594,1,19,3,23,foxc1,xenopus_tropicalis
,FBgn0014143,1,6,1,8,croc,drosophila_melanogaster
59,ENSG00000057657,6,2,21,29,PRDM1,homo_sapiens
,ENSMUSG00000038151,2,2,10,14,Prdm1,mus_musculus
,ENSXETG00000008674,1,1,5,7,prdm1,xenopus_tropicalis
,FBgn0035625,6,1,30,37,Blimp-1,drosophila_melanogaster
,WBGene00003847,2,1,12,15,blmp-1,caenorhabditis_elegans
60,ENSG00000057935,6,5,15,26,MTA3,homo_sapiens
,ENSMUSG00000055817,6,6,14,26,Mta3,mus_musculus
,FBgn0027951,4,2,16,22,MTA1-like,drosophila_melanogaster
,WBGene00003025,4,2,12,18,lin-40,caenorhabditis_elegans
61,ENSG00000059728,3,4,2,9,MXD1,homo_sapiens
,ENSMUSG00000001156,2,4,2,8,Mxd1,mus_musculus
,ENSXETG00000033966,1,4,2,7,mxd1,xenopus_tropicalis
,WBGene00003163,1,1,1,3,mdl-1,caenorhabditis_elegans
62,ENSG00000060138,3,3,0,6,YBX3,homo_sapiens
,ENSMUSG00000030189,2,3,0,5,Ybx3,mus_musculus
,ENSXETG00000016239,2,3,0,5,ybx3,xenopus_tropicalis
,FBgn0022959,2,1,0,3,yps,drosophila_melanogaster
,WBGene00000472,1,0,0,1,cey-1,caenorhabditis_elegans
,WBGene00000473,1,4,0,5,cey-2,caenorhabditis_elegans
,WBGene00000474,2,4,0,6,cey-3,caenorhabditis_elegans
,WBGene00000475,2,4,0,6,cey-4,caenorhabditis_elegans
63,ENSG00000060566,4,5,3,12,CREB3L3,homo_sapiens
,ENSMUSG00000035041,1,5,1,7,Creb3l3,mus_musculus
,WBGene00002783,2,2,2,6,let-607,caenorhabditis_elegans
64,ENSG00000061455,1,3,5,9,PRDM6,homo_sapiens
,ENSMUSG00000069378,4,3,19,26,Prdm6,mus_musculus
,ENSXETG00000010261,1,3,4,8,prdm6,xenopus_tropicalis
,WBGene00018567,1,1,5,7,F47E1.3,caenorhabditis_elegans
65,ENSG00000062370,5,22,38,65,ZNF112,homo_sapiens
,ENSMUSG00000052675,2,11,26,39,Zfp112,mus_musculus
,FBgn0030005,1,1,6,8,CG2120,drosophila_melanogaster
66,ENSG00000063515,1,13,1,15,GSC2,homo_sapiens
,ENSMUSG00000022738,1,13,1,15,Gsc2,mus_musculus
,FBgn0010323,2,4,2,8,Gsc,drosophila_melanogaster
,WBGene00022837,2,8,2,12,ceh-45,caenorhabditis_elegans
67,ENSG00000063587,2,1,18,21,ZNF275,homo_sapiens
,ENSMUSG00000031365,2,1,22,25,Zfp275,mus_musculus
,FBgn0040366,2,1,14,17,CG11398,drosophila_melanogaster
68,ENSG00000064195,2,21,2,25,DLX3,homo_sapiens
,ENSMUSG00000001510,1,22,1,24,Dlx3,mus_musculus
,ENSXETG00000021919,1,23,1,25,dlx3,xenopus_tropicalis
,WBGene00000463,1,9,1,11,ceh-43,caenorhabditis_elegans
69,ENSG00000064218,2,6,1,9,DMRT3,homo_sapiens
,ENSMUSG00000042372,1,6,1,8,Dmrt3,mus_musculus
,ENSXETG00000015285,1,5,1,6,dmrt3,xenopus_tropicalis
,WBGene00017326,1,6,1,8,dmd-5,caenorhabditis_elegans
70,ENSG00000064489,2,5,2,9,BORCS8-MEF2B,homo_sapiens
,FBgn0011656,7,1,7,15,Mef2,drosophila_melanogaster
,WBGene00003182,1,1,1,3,mef-2,caenorhabditis_elegans
71,ENSG00000064490,10,3,25,38,RFXANK,homo_sapiens
,ENSMUSG00000036120,1,3,4,8,Rfxank,mus_musculus
,ENSXETG00000013042,1,3,4,8,rfxank,xenopus_tropicalis
,FBgn0032171,2,1,6,7,CG5846,drosophila_melanogaster
72,ENSG00000064835,4,16,7,27,POU1F1,homo_sapiens
,ENSMUSG00000004842,4,15,8,12,Pou1f1,mus_musculus
,ENSXETG00000007637,1,16,2,19,pou1f1,xenopus_tropicalis
73,ENSG00000064933,15,2,7,25,PMS1,homo_sapiens
,ENSMUSG00000026098,6,3,2,11,Pms1,mus_musculus
,ENSXETG00000009885,1,2,1,4,pms1,xenopus_tropicalis
,WBGene00004064,2,1,0,3,pms-2,caenorhabditis_elegans
74,ENSG00000064961,6,2,4,12,HMG20B,homo_sapiens
,ENSMUSG00000020232,7,2,7,16,Hmg20b,mus_musculus
,ENSXETG00000022092,2,2,2,6,hmg20b,xenopus_tropicalis
,FBgn0026582,1,1,1,3,Hmg-2,drosophila_melanogaster
,WBGene00012209,1,1,1,3,hmg-20,caenorhabditis_elegans
75,ENSG00000065029,4,18,20,42,ZNF76,homo_sapiens
,ENSMUSG00000024220,4,18,20,42,Zfp523,mus_musculus
76,ENSG00000065970,2,14,2,18,FOXJ2,homo_sapiens
,ENSMUSG00000003154,3,16,3,22,Foxj2,mus_musculus
,ENSXETG00000027639,1,14,1,16,foxj2,xenopus_tropicalis
77,ENSG00000065978,4,3,0,7,YBX1,homo_sapiens
,ENSXETG00000013436,1,3,1,5,ybx1,xenopus_tropicalis
,FBgn0022959,2,1,0,3,yps,drosophila_melanogaster
,WBGene00000472,1,0,0,1,cey-1,caenorhabditis_elegans
,WBGene00000473,1,4,0,5,cey-2,caenorhabditis_elegans
,WBGene00000474,2,4,0,6,cey-3,caenorhabditis_elegans
,WBGene00000475,2,4,0,6,cey-4,caenorhabditis_elegans
78,ENSG00000066136,19,2,0,21,NFYC,homo_sapiens
,ENSMUSG00000032897,7,2,0,9,Nfyc,mus_musculus
,ENSXETG00000025363,1,2,1,4,nfyc,xenopus_tropicalis
,FBgn0029905,1,2,0,3,Nf-YC,drosophila_melanogaster
79,ENSG00000066336,4,4,2,10,SPI1,homo_sapiens
,ENSMUSG00000002111,3,3,1,7,Spi1,mus_musculus
,ENSXETG00000007913,1,2,1,4,spi1,xenopus_tropicalis
80,ENSG00000066422,2,3,13,18,ZBTB11,homo_sapiens
,ENSMUSG00000022601,1,3,13,17,Zbtb11,mus_musculus
,ENSXETG00000021364,2,3,14,19,zbtb11,xenopus_tropicalis
81,ENSG00000066827,9,2,80,91,ZFAT,homo_sapiens
,ENSMUSG00000022335,4,2,45,51,Zfat,mus_musculus
,ENSXETG00000020631,2,2,20,24,zfat,xenopus_tropicalis
82,ENSG00000067066,11,5,16,32,SP100,homo_sapiens
,ENSMUSG00000026222,8,18,14,38,Sp100,mus_musculus
,ENSMUSG00000094514,1,18,1,20,AC133103.3,mus_musculus
,ENSMUSG00000094915,1,18,1,20,AC168977.2,mus_musculus
,ENSXETG00000032669,1,1,4,6,0,xenopus_tropicalis
83,ENSG00000067082,3,12,5,20,KLF6,homo_sapiens
,ENSMUSG00000000078,1,13,3,17,Klf6,mus_musculus
,FBgn0040765,3,6,9,18,luna,drosophila_melanogaster
84,ENSG00000067646,5,4,48,57,ZFY,homo_sapiens
,ENSMUSG00000000103,2,5,18,25,Zfy2,mus_musculus
,ENSMUSG00000053211,2,5,18,25,Zfy1,mus_musculus
,ENSMUSG00000079509,5,5,39,49,Zfx,mus_musculus
,ENSXETG00000007785,1,3,13,17,zfx,xenopus_tropicalis
,FBgn0259785,2,1,10,13,pzg,drosophila_melanogaster
85,ENSG00000067955,6,1,0,7,CBFB,homo_sapiens
,ENSMUSG00000031885,4,1,0,5,Cbfb,mus_musculus
,ENSXETG00000020027,1,1,0,2,cbfb,xenopus_tropicalis
,FBgn0013753,2,2,0,4,Bgb,drosophila_melanogaster
,FBgn0013755,1,2,0,3,Bro,drosophila_melanogaster
86,ENSG00000068305,9,5,7,21,MEF2A,homo_sapiens
,ENSMUSG00000030557,6,5,5,16,Mef2a,mus_musculus
,ENSXETG00000018788,2,3,2,7,mef2a,xenopus_tropicalis
,FBgn0011656,7,1,7,15,Mef2,drosophila_melanogaster
,WBGene00003182,1,1,1,3,mef-2,caenorhabditis_elegans
87,ENSG00000068323,1,4,1,6,TFE3,homo_sapiens
,ENSMUSG00000000134,8,4,7,19,Tfe3,mus_musculus
,ENSXETG00000019114,1,4,1,6,tfe3,xenopus_tropicalis
,FBgn0263112,4,1,4,9,Mitf,drosophila_melanogaster
,WBGene00020930,12,1,12,24,hlh-30,caenorhabditis_elegans
88,ENSG00000069011,5,13,7,25,PITX1,homo_sapiens
,ENSMUSG00000021506,2,13,3,18,Pitx1,mus_musculus
,ENSXETG00000010401,1,14,3,18,pitx1,xenopus_tropicalis
,FBgn0020912,3,4,6,13,Ptx1,drosophila_melanogaster
,WBGene00006766,4,8,4,16,unc-30,caenorhabditis_elegans
89,ENSG00000069667,6,8,4,18,RORA,homo_sapiens
,ENSMUSG00000032238,2,8,2,12,Rora,mus_musculus
,ENSXETG00000021123,1,10,1,12,rora,xenopus_tropicalis
,FBgn0000448,7,8,6,21,Hr46,drosophila_melanogaster
,WBGene00003622,6,10,5,21,nhr-23,caenorhabditis_elegans
90,ENSG00000069812,5,5,3,13,HES2,homo_sapiens
,ENSMUSG00000028940,1,4,2,7,Hes2,mus_musculus
,ENSXETG00000001163,1,13,2,16,hes2,xenopus_tropicalis
91,ENSG00000070444,2,1,1,4,MNT,homo_sapiens
,ENSMUSG00000000282,2,1,2,5,Mnt,mus_musculus
,ENSXETG00000019434,2,1,5,8,mnt,xenopus_tropicalis
,FBgn0023215,10,1,9,21,Mnt,drosophila_melanogaster
92,ENSG00000070476,2,4,20,26,ZXDC,homo_sapiens
,ENSMUSG00000034430,4,3,30,37,Zxdc,mus_musculus
