index,ensembl_id,human_name,gene_name,species,isoforms,paralogues,motifs,complexity,iso_log2,par_log2,mot_log2,complexity_norm
18,ENSMUSG00000042596,TFAP2D,Tfap2d,mus_musculus,1,5,0,6,0,2.3,0,2.3
18,ENSXETG00000032997,TFAP2D,TFAP2D,xenopus_tropicalis,1,5,0,6,0,2.3,0,2.3
18,FBgn0261953,TFAP2D,TfAP-2,drosophila_melanogaster,6,1,0,7,2.6,0,0,2.6
18,WBGene00019424,TFAP2D,aptf-1,caenorhabditis_elegans,1,4,0,5,0,2,0,2
19,ENSG00000008441,NFIX,NFIX,homo_sapiens,11,4,11,26,3.5,2,3.5,8.9
19,ENSMUSG00000001911,NFIX,Nfix,mus_musculus,5,4,5,14,2.3,2,2.3,6.6
19,ENSXETG00000016718,NFIX,nfix,xenopus_tropicalis,2,4,2,8,1,2,1,4
19,FBgn0042696,NFIX,NfI,drosophila_melanogaster,2,1,2,5,1,0,1,2
19,WBGene00003592,NFIX,nfi-1,caenorhabditis_elegans,3,1,3,7,1.6,0,1.6,3.2
21,ENSG00000009709,PAX7,PAX7,homo_sapiens,3,9,6,18,1.6,3.2,2.6,7.3
21,ENSMUSG00000028736,PAX7,Pax7,mus_musculus,2,9,4,15,1,3.2,2,6.2
21,ENSXETG00000018527,PAX7,pax7,xenopus_tropicalis,1,9,3,13,0,3.2,1.6,4.8
21,FBgn0001148,PAX7,gsb,drosophila_melanogaster,1,10,2,13,0,3.3,1,4.3
21,WBGene00003939,PAX7,pax-3,caenorhabditis_elegans,1,7,2,10,0,2.8,1,3.8
22,ENSG00000009950,MLXIPL,MLXIPL,homo_sapiens,7,3,5,15,2.8,1.6,2.3,6.7
22,ENSMUSG00000005373,MLXIPL,Mlxipl,mus_musculus,4,3,3,10,2,1.6,1.6,5.2
22,ENSXETG00000030310,MLXIPL,MLXIPL,xenopus_tropicalis,1,3,0,7,0,1.6,0,1.6
22,FBgn0032940,MLXIPL,Mio,drosophila_melanogaster,11,2,11,24,3.5,1,3.5,7.9
22,WBGene00003378,MLXIPL,mml-1,caenorhabditis_elegans,2,2,2,6,1,1,1,3
25,ENSG00000010818,HIVEP2,HIVEP2,homo_sapiens,3,4,12,19,1.6,2,3.6,7.2
25,ENSMUSG00000015501,HIVEP2,Hivep2,mus_musculus,4,4,14,22,2,2,3.8,7.8
25,ENSXETG00000023284,HIVEP2,hivep2,xenopus_tropicalis,1,3,7,8,0,1.6,2.8,4.4
25,FBgn0003396,HIVEP2,shn,drosophila_melanogaster,6,1,42,49,2.6,0,5.4,8
25,WBGene00004862,HIVEP2,sma-9,caenorhabditis_elegans,14,1,51,71,3.8,0,5.7,9.5
30,ENSG00000012817,KDM5D,KDM5D,homo_sapiens,6,5,18,29,2.6,2.3,4.2,9.1
30,ENSMUSG00000056673,KDM5D,Kdm5d,mus_musculus,2,5,7,14,1,2.3,2.8,6.1
30,ENSXETG00000007178,KDM5D,kdm5c,xenopus_tropicalis,1,5,4,10,0,2.3,2,4.3
30,WBGene00004319,KDM5D,rbr-2,caenorhabditis_elegans,2,1,8,11,1,0,3,4
31,ENSG00000016082,ISL1,ISL1,homo_sapiens,2,12,6,20,1,3.6,2.6,7.2
31,ENSMUSG00000042258,ISL1,Isl1,mus_musculus,2,12,6,20,1,3.6,2.6,7.2
31,ENSXETG00000004188,ISL1,isl1,xenopus_tropicalis,1,13,2,16,0,3.7,1,4.7
31,FBgn0003896,ISL1,tup,drosophila_melanogaster,3,7,9,19,1.6,2.8,3.2,7.6
31,WBGene00002989,ISL1,lim-7,caenorhabditis_elegans,1,7,3,11,0,2.8,1.6,4.4
34,ENSG00000020256,ZFP64,ZFP64,homo_sapiens,9,5,65,79,3.2,2.3,6,11.5
34,ENSMUSG00000027551,ZFP64,Zfp64,mus_musculus,4,5,24,33,2,2.3,4.6,8.9
34,ENSXETG00000012327,ZFP64,zfp64,xenopus_tropicalis,1,4,8,13,0,2,3,5
34,WBGene00009553,ZFP64,F39B2.1,caenorhabditis_elegans,1,1,5,7,0,0,2.3,2.3
35,ENSG00000020633,RUNX3,RUNX3,homo_sapiens,3,3,3,9,1.6,1.6,1.6,4.8
35,ENSMUSG00000070691,RUNX3,Runx3,mus_musculus,2,3,2,7,1,1.6,1,3.6
35,ENSXETG00000001029,RUNX3,runx3,xenopus_tropicalis,1,3,1,5,0,1.6,0,1.6
35,FBgn0003300,RUNX3,run,drosophila_melanogaster,3,4,3,10,1.6,2,1.6,5.2
35,WBGene00004393,RUNX3,rnt-1,caenorhabditis_elegans,1,1,1,3,0,0,0,0
36,ENSG00000025156,HSF2,HSF2,homo_sapiens,3,3,0,6,1.6,1.6,0,3.2
36,ENSMUSG00000019878,HSF2,Hsf2,mus_musculus,1,4,0,5,0,2,0,2
36,ENSXETG00000023290,HSF2,hsf2,xenopus_tropicalis,1,5,0,6,0,2.3,0,2.3
36,FBgn0001222,HSF2,Hsf,drosophila_melanogaster,4,1,0,5,2,0,0,2
36,WBGene00002004,HSF2,hsf-1,caenorhabditis_elegans,1,1,0,2,0,0,0,0
38,ENSG00000028277,POU2F2,POU2F2,homo_sapiens,14,16,19,49,3.8,4,4.2,12.1
38,ENSMUSG00000008496,POU2F2,Pou2f2,mus_musculus,9,15,16,25,3.2,3.9,4,11.1
38,ENSXETG00000033156,POU2F2,POU2F2,xenopus_tropicalis,1,16,4,21,0,4,2,6
38,FBgn0004394,POU2F2,pdm2,drosophila_melanogaster,4,5,8,15,2,2.3,3,7.3
38,WBGene00000441,POU2F2,ceh-18,caenorhabditis_elegans,3,3,5,11,1.6,1.6,2.3,5.5
41,ENSG00000029993,HMGB3,HMGB3,homo_sapiens,5,4,10,19,2.3,2,3.3,7.6
41,ENSXETG00000007740,HMGB3,hmgb3,xenopus_tropicalis,1,3,4,8,0,1.6,2,3.6
41,FBgn0011764,HMGB3,Dsp1,drosophila_melanogaster,7,1,14,22,2.8,0,3.8,6.6
41,WBGene00001972,HMGB3,hmg-1.2,caenorhabditis_elegans,5,1,10,16,2.3,0,3.3,5.6
43,ENSG00000032219,ARID4A,ARID4A,homo_sapiens,7,7,5,19,2.8,2.8,2.3,7.9
43,ENSMUSG00000048118,ARID4A,Arid4a,mus_musculus,3,7,2,5,1.6,2.8,1,5.4
43,ENSXETG00000011968,ARID4A,arid4a,xenopus_tropicalis,2,7,5,14,1,2.8,2.3,6.1
43,FBgn0085451,ARID4A,CG34422,drosophila_melanogaster,2,3,1,6,1,1.6,0,2.6
43,WBGene00044689,ARID4A,arid-1,caenorhabditis_elegans,1,3,1,5,0,1.6,0,1.6
44,ENSG00000033800,PIAS1,PIAS1,homo_sapiens,2,6,6,14,1,2.6,2.6,6.2
44,ENSMUSG00000032405,PIAS1,Pias1,mus_musculus,1,6,3,10,0,2.6,1.6,4.2
44,ENSXETG00000007813,PIAS1,pias1,xenopus_tropicalis,1,6,3,10,0,2.6,1.6,4.2
44,FBgn0003612,PIAS1,Su(var)2-10,drosophila_melanogaster,14,2,42,58,3.8,1,5.4,10.2
44,WBGene00001574,PIAS1,gei-17,caenorhabditis_elegans,15,1,30,46,3.9,0,4.9,8.8
47,ENSG00000039600,SOX30,SOX30,homo_sapiens,3,4,3,10,1.6,2,1.6,5.2
47,ENSMUSG00000040489,SOX30,Sox30,mus_musculus,1,4,1,6,0,2,0,2
47,FBgn0039938,SOX30,Sox102F,drosophila_melanogaster,4,1,4,9,2,0,2,4
47,WBGene00015716,SOX30,sox-4,caenorhabditis_elegans,1,2,1,4,0,1,0,1
50,ENSG00000043355,ZIC2,ZIC2,homo_sapiens,2,18,8,28,1,4.2,3,8.2
50,ENSMUSG00000061524,ZIC2,Zic2,mus_musculus,1,18,4,23,0,4.2,2,6.2
50,FBgn0003002,ZIC2,opa,drosophila_melanogaster,1,0,4,12,0,0,2,2
50,WBGene00004335,ZIC2,ref-2,caenorhabditis_elegans,3,3,12,18,1.6,1.6,3.6,6.8
56,ENSG00000053254,FOXN3,FOXN3,homo_sapiens,12,6,8,26,3.6,2.6,3,9.2
56,ENSMUSG00000033713,FOXN3,Foxn3,mus_musculus,7,6,5,18,2.8,2.6,2.3,7.7
56,ENSXETG00000016645,FOXN3,foxn3,xenopus_tropicalis,2,5,4,11,1,2.3,2,5.3
56,FBgn0029504,FOXN3,CHES-1-like,drosophila_melanogaster,4,2,4,10,2,1,2,5
56,WBGene00001440,FOXN3,fkh-8,caenorhabditis_elegans,2,1,2,5,1,0,1,2
57,ENSG00000054267,ARID4B,ARID4B,homo_sapiens,5,7,4,16,2.3,2.8,2,7.1
57,ENSMUSG00000039219,ARID4B,Arid4b,mus_musculus,6,7,5,18,2.6,2.8,2.3,7.7
57,ENSXETG00000024651,ARID4B,arid4b,xenopus_tropicalis,2,7,3,12,1,2.8,1.6,5.4
57,FBgn0085451,ARID4B,CG34422,drosophila_melanogaster,2,3,1,6,1,1.6,0,2.6
57,WBGene00044689,ARID4B,arid-1,caenorhabditis_elegans,1,3,1,5,0,1.6,0,1.6
59,ENSG00000057657,PRDM1,PRDM1,homo_sapiens,6,2,21,29,2.6,1,4.4,8
59,ENSMUSG00000038151,PRDM1,Prdm1,mus_musculus,2,2,10,14,1,1,3.3,5.3
59,ENSXETG00000008674,PRDM1,prdm1,xenopus_tropicalis,1,1,5,7,0,0,2.3,2.3
59,FBgn0035625,PRDM1,Blimp-1,drosophila_melanogaster,6,1,30,37,2.6,0,4.9,7.5
59,WBGene00003847,PRDM1,blmp-1,caenorhabditis_elegans,2,1,12,15,1,0,3.6,4.6
60,ENSG00000057935,MTA3,MTA3,homo_sapiens,6,5,15,26,2.6,2.3,3.9,8.8
60,ENSMUSG00000055817,MTA3,Mta3,mus_musculus,6,6,14,26,2.6,2.6,3.8,9
60,FBgn0027951,MTA3,MTA1-like,drosophila_melanogaster,4,2,16,22,2,1,4,7
60,WBGene00003025,MTA3,lin-40,caenorhabditis_elegans,4,2,12,18,2,1,3.6,6.6
61,ENSG00000059728,MXD1,MXD1,homo_sapiens,3,4,2,9,1.6,2,1,4.6
61,ENSMUSG00000001156,MXD1,Mxd1,mus_musculus,2,4,2,8,1,2,1,4
61,ENSXETG00000033966,MXD1,mxd1,xenopus_tropicalis,1,4,2,7,0,2,1,3
61,WBGene00003163,MXD1,mdl-1,caenorhabditis_elegans,1,1,1,3,0,0,0,0
62,ENSG00000060138,YBX3,YBX3,homo_sapiens,3,3,0,6,1.6,1.6,0,3.2
62,ENSMUSG00000030189,YBX3,Ybx3,mus_musculus,2,3,0,5,1,1.6,0,2.6
62,ENSXETG00000016239,YBX3,ybx3,xenopus_tropicalis,2,3,0,5,1,1.6,0,2.6
62,FBgn0022959,YBX3,yps,drosophila_melanogaster,2,1,0,3,1,0,0,1
62,WBGene00000472,YBX3,cey-1,caenorhabditis_elegans,1,0,0,1,0,0,0,0
63,ENSG00000060566,CREB3L3,CREB3L3,homo_sapiens,4,5,3,12,2,2.3,1.6,5.9
63,ENSMUSG00000035041,CREB3L3,Creb3l3,mus_musculus,1,5,1,7,0,2.3,0,2.3
63,WBGene00002783,CREB3L3,let-607,caenorhabditis_elegans,2,2,2,6,1,1,1,3
64,ENSG00000061455,PRDM6,PRDM6,homo_sapiens,1,3,5,9,0,1.6,2.3,3.9
64,ENSMUSG00000069378,PRDM6,Prdm6,mus_musculus,4,3,19,26,2,1.6,4.2,7.8
64,ENSXETG00000010261,PRDM6,prdm6,xenopus_tropicalis,1,3,4,8,0,1.6,2,3.6
64,WBGene00018567,PRDM6,F47E1.3,caenorhabditis_elegans,1,1,5,7,0,0,2.3,2.3
66,ENSG00000063515,GSC2,GSC2,homo_sapiens,1,13,1,15,0,3.7,0,3.7
66,ENSMUSG00000022738,GSC2,Gsc2,mus_musculus,1,13,1,15,0,3.7,0,3.7
66,FBgn0010323,GSC2,Gsc,drosophila_melanogaster,2,4,2,8,1,2,1,4
66,WBGene00022837,GSC2,ceh-45,caenorhabditis_elegans,2,8,2,12,1,3,1,5
68,ENSG00000064195,DLX3,DLX3,homo_sapiens,2,21,2,25,1,4.4,1,6.4
68,ENSMUSG00000001510,DLX3,Dlx3,mus_musculus,1,22,1,24,0,4.5,0,4.5
68,ENSXETG00000021919,DLX3,dlx3,xenopus_tropicalis,1,23,1,25,0,4.5,0,4.5
68,WBGene00000463,DLX3,ceh-43,caenorhabditis_elegans,1,9,1,11,0,3.2,0,3.2
69,ENSG00000064218,DMRT3,DMRT3,homo_sapiens,2,6,1,9,1,2.6,0,3.6
69,ENSMUSG00000042372,DMRT3,Dmrt3,mus_musculus,1,6,1,8,0,2.6,0,2.6
69,ENSXETG00000015285,DMRT3,dmrt3,xenopus_tropicalis,1,5,1,6,0,2.3,0,2.3
69,WBGene00017326,DMRT3,dmd-5,caenorhabditis_elegans,1,6,1,8,0,2.6,0,2.6
70,ENSG00000064489,BORCS8-MEF2B,BORCS8-MEF2B,homo_sapiens,2,5,2,9,1,2.3,1,4.3
70,FBgn0011656,BORCS8-MEF2B,Mef2,drosophila_melanogaster,7,1,7,15,2.8,0,2.8,5.6
70,WBGene00003182,BORCS8-MEF2B,mef-2,caenorhabditis_elegans,1,1,1,3,0,0,0,0
73,ENSG00000064933,PMS1,PMS1,homo_sapiens,15,2,7,25,3.9,1,2.8,7.7
73,ENSMUSG00000026098,PMS1,Pms1,mus_musculus,6,3,2,11,2.6,1.6,1,5.2
73,ENSXETG00000009885,PMS1,pms1,xenopus_tropicalis,1,2,1,4,0,1,0,1
73,WBGene00004064,PMS1,pms-2,caenorhabditis_elegans,2,1,0,3,1,0,0,1
74,ENSG00000064961,HMG20B,HMG20B,homo_sapiens,6,2,4,12,2.6,1,2,5.6
74,ENSMUSG00000020232,HMG20B,Hmg20b,mus_musculus,7,2,7,16,2.8,1,2.8,6.6
74,ENSXETG00000022092,HMG20B,hmg20b,xenopus_tropicalis,2,2,2,6,1,1,1,3
74,FBgn0026582,HMG20B,Hmg-2,drosophila_melanogaster,1,1,1,3,0,0,0,0
74,WBGene00012209,HMG20B,hmg-20,caenorhabditis_elegans,1,1,1,3,0,0,0,0
77,ENSG00000065978,YBX1,YBX1,homo_sapiens,4,3,0,7,2,1.6,0,3.6
77,ENSXETG00000013436,YBX1,ybx1,xenopus_tropicalis,1,3,1,5,0,1.6,0,1.6
77,FBgn0022959,YBX1,yps,drosophila_melanogaster,2,1,0,3,1,0,0,1
77,WBGene00000472,YBX1,cey-1,caenorhabditis_elegans,1,0,0,1,0,0,0,0
86,ENSG00000068305,MEF2A,MEF2A,homo_sapiens,9,5,7,21,3.2,2.3,2.8,8.3
86,ENSMUSG00000030557,MEF2A,Mef2a,mus_musculus,6,5,5,16,2.6,2.3,2.3,7.2
86,ENSXETG00000018788,MEF2A,mef2a,xenopus_tropicalis,2,3,2,7,1,1.6,1,3.6
86,FBgn0011656,MEF2A,Mef2,drosophila_melanogaster,7,1,7,15,2.8,0,2.8,5.6
86,WBGene00003182,MEF2A,mef-2,caenorhabditis_elegans,1,1,1,3,0,0,0,0
87,ENSG00000068323,TFE3,TFE3,homo_sapiens,1,4,1,6,0,2,0,2
87,ENSMUSG00000000134,TFE3,Tfe3,mus_musculus,8,4,7,19,3,2,2.8,7.8
87,ENSXETG00000019114,TFE3,tfe3,xenopus_tropicalis,1,4,1,6,0,2,0,2
87,FBgn0263112,TFE3,Mitf,drosophila_melanogaster,4,1,4,9,2,0,2,4
87,WBGene00020930,TFE3,hlh-30,caenorhabditis_elegans,12,1,12,24,3.6,0,3.6,7.2
88,ENSG00000069011,PITX1,PITX1,homo_sapiens,5,13,7,25,2.3,3.7,2.8,8.8
88,ENSMUSG00000021506,PITX1,Pitx1,mus_musculus,2,13,3,18,1,3.7,1.6,6.3
88,ENSXETG00000010401,PITX1,pitx1,xenopus_tropicalis,1,14,3,18,0,3.8,1.6,5.4
88,FBgn0020912,PITX1,Ptx1,drosophila_melanogaster,3,4,6,13,1.6,2,2.6,6.2
88,WBGene00006766,PITX1,unc-30,caenorhabditis_elegans,4,8,4,16,2,3,2,7
89,ENSG00000069667,RORA,RORA,homo_sapiens,6,8,4,18,2.6,3,2,7.6
89,ENSMUSG00000032238,RORA,Rora,mus_musculus,2,8,2,12,1,3,1,5
89,ENSXETG00000021123,RORA,rora,xenopus_tropicalis,1,10,1,12,0,3.3,0,3.3
89,FBgn0000448,RORA,Hr46,drosophila_melanogaster,7,8,6,21,2.8,3,2.6,8.4
89,WBGene00003622,RORA,nhr-23,caenorhabditis_elegans,6,10,5,21,2.6,3.3,2.3,8.2
93,ENSG00000071564,TCF3,TCF3,homo_sapiens,15,3,11,28,3.9,1.6,3.5,9
93,ENSMUSG00000020167,TCF3,Tcf3,mus_musculus,12,3,11,26,3.6,1.6,3.5,8.6
93,ENSXETG00000013589,TCF3,tcf3,xenopus_tropicalis,1,0,2,6,0,0,1,1
93,FBgn0000413,TCF3,da,drosophila_melanogaster,3,1,3,7,1.6,0,1.6,3.2
93,WBGene00001949,TCF3,hlh-2,caenorhabditis_elegans,1,1,1,3,0,0,0,0
95,ENSG00000072310,SREBF1,SREBF1,homo_sapiens,7,2,4,13,2.8,1,2,5.8
95,ENSMUSG00000020538,SREBF1,Srebf1,mus_musculus,3,2,3,8,1.6,1,1.6,4.2
95,ENSXETG00000012160,SREBF1,srebf1,xenopus_tropicalis,1,2,2,5,0,1,1,2
95,FBgn0261283,SREBF1,HLH106,drosophila_melanogaster,4,1,4,9,2,0,2,4
95,WBGene00004735,SREBF1,sbp-1,caenorhabditis_elegans,1,1,1,3,0,0,0,0
99,ENSG00000073584,SMARCE1,SMARCE1,homo_sapiens,13,1,10,24,3.7,0,3.3,7
99,ENSMUSG00000037935,SMARCE1,Smarce1,mus_musculus,1,1,1,3,0,0,0,0
99,ENSXETG00000021355,SMARCE1,smarce1,xenopus_tropicalis,2,1,5,8,1,0,2.3,3.3
99,FBgn0030093,SMARCE1,dalao,drosophila_melanogaster,1,1,1,3,0,0,0,0
99,WBGene00022182,SMARCE1,swsn-3,caenorhabditis_elegans,1,1,1,3,0,0,0,0
100,ENSG00000073614,KDM5A,KDM5A,homo_sapiens,6,5,19,30,2.6,2.3,4.2,9.2
100,ENSMUSG00000030180,KDM5A,Kdm5a,mus_musculus,2,5,7,14,1,2.3,2.8,6.1
100,ENSXETG00000003642,KDM5A,kdm5a,xenopus_tropicalis,1,5,6,12,0,2.3,2.6,4.9
100,WBGene00004319,KDM5A,rbr-2,caenorhabditis_elegans,2,1,8,11,1,0,3,4
101,ENSG00000073861,TBX21,TBX21,homo_sapiens,1,4,1,6,0,2,0,2
101,ENSMUSG00000001444,TBX21,Tbx21,mus_musculus,1,4,1,2,0,2,0,2
101,WBGene00006554,TBX21,tbx-35,caenorhabditis_elegans,1,12,1,14,0,3.6,0,3.6
103,ENSG00000074219,TEAD2,TEAD2,homo_sapiens,7,4,5,16,2.8,2,2.3,7.1
103,ENSMUSG00000030796,TEAD2,Tead2,mus_musculus,2,5,2,9,1,2.3,1,4.3
103,ENSXETG00000003395,TEAD2,tead4,xenopus_tropicalis,2,1,4,7,1,0,2,3
103,FBgn0003345,TEAD2,sd,drosophila_melanogaster,21,1,21,43,4.4,0,4.4,8.8
103,WBGene00001208,TEAD2,egl-44,caenorhabditis_elegans,5,1,5,11,2.3,0,2.3,4.6
107,ENSG00000075891,PAX2,PAX2,homo_sapiens,6,9,6,21,2.6,3.2,2.6,8.3
107,ENSMUSG00000004231,PAX2,Pax2,mus_musculus,3,9,3,15,1.6,3.2,1.6,6.3
107,ENSXETG00000014206,PAX2,pax2,xenopus_tropicalis,2,9,2,13,1,3.2,1,5.2
107,FBgn0005561,PAX2,sv,drosophila_melanogaster,7,10,7,24,2.8,3.3,2.8,8.9
107,WBGene00001204,PAX2,egl-38,caenorhabditis_elegans,1,7,1,9,0,2.8,0,2.8
108,ENSG00000076108,BAZ2A,BAZ2A,homo_sapiens,9,8,15,32,3.2,3,3.9,10.1
108,ENSMUSG00000040054,BAZ2A,Baz2a,mus_musculus,2,8,8,18,1,3,3,7
108,ENSXETG00000021782,BAZ2A,baz2a,xenopus_tropicalis,1,8,4,13,0,3,2,5
108,FBgn0033636,BAZ2A,tou,drosophila_melanogaster,5,5,21,31,2.3,2.3,4.4,9
108,WBGene00001470,BAZ2A,flt-1,caenorhabditis_elegans,1,4,4,9,0,2,2,4
112,ENSG00000078043,PIAS2,PIAS2,homo_sapiens,8,6,14,28,3,2.6,3.8,9.4
112,ENSMUSG00000025423,PIAS2,Pias2,mus_musculus,3,6,9,18,1.6,2.6,3.2,7.3
112,ENSXETG00000021519,PIAS2,pias2,xenopus_tropicalis,2,6,4,12,1,2.6,2,5.6
112,FBgn0003612,PIAS2,Su(var)2-10,drosophila_melanogaster,14,2,42,58,3.8,1,5.4,10.2
112,WBGene00001574,PIAS2,gei-17,caenorhabditis_elegans,15,1,30,46,3.9,0,4.9,8.8
113,ENSG00000078246,TULP3,TULP3,homo_sapiens,6,6,0,12,2.6,2.6,0,5.2
113,ENSMUSG00000001521,TULP3,Tulp3,mus_musculus,3,9,0,12,1.6,3.2,0,4.8
113,ENSXETG00000001314,TULP3,tulp3,xenopus_tropicalis,2,6,1,9,1,2.6,0,3.6
113,FBgn0015721,TULP3,ktub,drosophila_melanogaster,2,3,0,5,1,1.6,0,2.6
113,WBGene00006655,TULP3,tub-1,caenorhabditis_elegans,1,3,0,4,0,1.6,0,1.6
115,ENSG00000078403,MLLT10,MLLT10,homo_sapiens,10,9,11,30,3.3,3.2,3.5,10
115,ENSMUSG00000026743,MLLT10,Mllt10,mus_musculus,4,9,5,18,2,3.2,2.3,7.5
115,ENSXETG00000007391,MLLT10,mllt10,xenopus_tropicalis,2,9,6,17,1,3.2,2.6,6.8
115,FBgn0261238,MLLT10,Alh,drosophila_melanogaster,0,4,5,22,0,2,2.3,4.3
115,WBGene00006975,MLLT10,zfp-1,caenorhabditis_elegans,4,4,5,13,2,2,2.3,6.3
120,ENSG00000081059,TCF7,TCF7,homo_sapiens,14,4,9,27,3.8,2,3.2,9
120,ENSMUSG00000000782,TCF7,Tcf7,mus_musculus,2,4,2,8,1,2,1,4
120,ENSXETG00000016100,TCF7,tcf7,xenopus_tropicalis,1,4,1,6,0,2,0,2
120,FBgn0085432,TCF7,pan,drosophila_melanogaster,9,1,9,19,3.2,0,3.2,6.3
120,WBGene00004077,TCF7,pop-1,caenorhabditis_elegans,1,1,1,3,0,0,0,0
121,ENSG00000081189,MEF2C,MEF2C,homo_sapiens,27,5,24,56,4.8,2.3,4.6,11.7
121,ENSMUSG00000005583,MEF2C,Mef2c,mus_musculus,27,5,25,57,4.8,2.3,4.6,11.7
