Genes,Celegans,Drosophila,Xenopus,Mice,Human,Human_Celegans,Correlation,perc_celegans_fly,perc_fly_xen,perc_xen_mice,perc_mice_human
PRDM16,3.6,3.2,4.6,9.9,9.3,2.58,0.89,9.56,15.46,23.14,10.10
PHOX2A,1.6,3.3,3.7,3.7,4.9,3.06,0.89,42.09,22.88,20.41,27.03
E2F5,1,2,2,3.6,5.2,5.20,0.89,38.46,19.23,34.62,27.78
SETDB1,4.6,4.8,5.5,8.6,10.7,2.33,0.89,9.75,10.71,14.61,11.63
BLM,3.6,3.2,5.9,6.5,5.6,1.56,0.89,15.87,32.92,19.67,15.38
SMARCA2,2.3,7.5,6.3,11,11.5,5.00,0.89,28.36,7.30,15.18,9.09
MLX,1,1,1.6,5.6,5.6,5.60,0.89,17.86,28.57,62.50,17.86
AEBP1,3.2,4.5,5.6,5,6,1.88,0.88,23.44,20.74,14.88,20.00
TAF6,1,2,2,3.3,4.9,4.90,0.88,40.82,20.41,33.67,30.30
TEF,1,1.6,1.6,4.6,4.2,4.20,0.88,38.10,23.81,68.45,21.74
PITX2,7,6.2,7.6,9.7,11.3,1.61,0.88,7.84,10.85,11.29,10.31
PAX9,2.8,3.3,3.2,5.2,5.8,2.07,0.88,20.32,16.72,28.02,19.23
DNAJC2,2.6,4.6,4,6.3,6.3,2.42,0.88,28.08,13.80,25.00,15.87
CCNC,2.3,2.3,2.8,4.8,6.3,2.74,0.88,15.87,19.32,27.21,20.83
PAX1,2.8,3.3,3.2,5.8,6.3,2.25,0.88,18.71,15.39,28.77,17.24
SP3,2.6,5.6,7.8,6.5,8.7,3.35,0.87,24.76,16.01,9.58,15.38
NR4A3,3.2,3,3.8,5.9,7.8,2.44,0.87,12.02,16.24,19.91,16.95
KLF11,2.6,6.8,7.4,7.5,9.7,3.73,0.87,26.96,11.22,10.45,13.33
NFIX,3.2,2,4,6.6,8.9,2.78,0.87,7.02,22.47,18.54,15.15
ZNF513,4,3,4.6,7.7,7.1,1.78,0.87,10.56,21.60,23.58,12.99
FOXD3,1.6,2.6,5.2,4.2,4.6,2.88,0.87,35.33,43.48,17.56,23.81
EVX1,2.6,3.5,6.5,5.3,5.9,2.27,0.87,22.82,31.48,13.82,18.87
NR4A2,3.2,3,3.8,7.1,9.4,2.94,0.87,9.97,13.48,19.88,14.08
ARID2,1,1,1.6,2.6,4.3,4.30,0.87,23.26,37.21,37.79,38.46
ILF2,1,1,4,3.3,7.3,7.30,0.87,13.70,54.79,11.30,30.30
NFIA,3.2,2,3.6,7.4,9.2,2.88,0.86,6.79,19.57,22.34,13.51
MECOM,3.6,3.2,4,10.8,11.7,3.25,0.86,7.60,10.68,23.08,9.26
CNBP,4.4,3.6,4.6,8.5,9.7,2.20,0.86,8.43,13.17,19.05,11.76
BCL11B,4.8,6.3,5.8,7.3,7.3,1.52,0.86,17.98,12.61,17.24,13.70
PAX3,3.8,4.3,5.8,6.2,10,2.63,0.86,11.32,13.49,10.69,16.13
BARHL1,2,4.5,4,7.2,6,3.00,0.86,37.50,14.81,30.00,13.89
TFAP2A,2,2.6,3.9,3.3,5.5,2.75,0.86,23.64,27.27,15.38,30.30
HDAC1,1.6,1,2,2.3,3,1.88,0.85,20.83,66.67,38.33,43.48
HOXD4,2,2.6,3.8,5.9,4,2.00,0.85,32.50,36.54,38.82,16.95
PBRM1,4.9,3,5.1,10.3,10.6,2.16,0.85,5.78,16.04,19.05,9.71
BCL11A,4.8,6.3,5.9,7,8.5,1.77,0.85,15.44,11.02,13.96,14.29
NCOR1,4.6,5,4.9,10,9.6,2.09,0.85,11.32,10.21,21.26,10.00
CTCF,2.3,5,7.5,5.8,7.6,3.30,0.84,28.60,19.74,10.18,17.24
REXO4,1,1,1,3.6,4,4.00,0.84,25.00,25.00,90.00,27.78
TCEA1,1.6,4.6,3.6,5.6,7.5,4.69,0.84,38.33,10.43,20.74,17.86
GTF2A2,1,1,1,2.3,2.6,2.60,0.84,38.46,38.46,88.46,43.48
DACH2,1,2.6,2,3.3,3.6,3.60,0.84,72.22,21.37,45.83,30.30
POU2F2,5.5,7.3,6,11.1,12.1,2.20,0.83,10.97,6.79,15.29,9.01
AIP,1,3,2,4.6,4.6,4.60,0.83,65.22,14.49,50.00,21.74
SIX1,2,1.6,2.3,2.6,3.6,1.80,0.83,22.22,39.93,31.40,38.46
ETV4,3,4.3,3.6,6.9,9.5,3.17,0.83,15.09,8.81,20.18,14.49
PAX6,6.4,6.3,6.2,10.8,11.7,1.83,0.83,8.41,8.41,14.89,9.26
HDAC2,1.6,1,2,3.3,5.6,3.50,0.83,11.16,35.71,29.46,30.30
KDM4C,1,4,2.6,5.6,8.2,8.20,0.83,48.78,7.93,26.27,17.86
GCFC2,1,1.6,2,2,3.8,3.80,0.83,42.11,32.89,26.32,50.00
TAF7,1,1,1,1.6,2,2.00,0.82,50.00,50.00,80.00,62.50
CREBBP,5.6,3.3,5.8,8.9,8.9,1.59,0.82,6.62,19.75,17.24,11.24
EYA1,1,1.6,3,5,2.8,2.80,0.82,57.14,66.96,59.52,20.00
SP2,2.6,5.6,7.4,9.5,6.5,2.50,0.82,33.14,20.33,19.75,10.53
HDAC4,3.3,4,3.6,4.6,5.4,1.64,0.82,22.45,16.67,23.66,21.74
HOXA4,2,2.6,3.8,3.9,8,4.00,0.82,16.25,18.27,12.83,25.64
LMCD1,3,3.6,4.6,4.8,8.6,2.87,0.81,13.95,14.86,12.13,20.83
ZEB2,2.3,6.4,3.8,10.5,10.6,4.61,0.81,26.25,5.60,26.07,9.52
GATAD2A,1,2.3,3,2.6,5.8,5.80,0.80,39.66,22.49,14.94,38.46
TFAP2C,2,2.6,2.3,3.9,3.3,1.65,0.80,39.39,26.81,51.38,25.64
KLF13,2.6,6.8,5.4,7.1,8.9,3.42,0.80,29.39,8.92,14.77,14.08
KMT2C,3.6,6.3,4,10.5,10.9,3.03,0.80,16.06,5.82,24.08,9.52
DYRK1B,2.3,6.6,6.4,6.3,8.7,3.78,0.80,32.98,11.15,11.31,15.87
TBX20,2,3,3.6,5.7,3.7,1.85,0.79,40.54,32.43,42.79,17.54
GATAD2B,1,2.3,1,5.6,5.6,5.60,0.79,41.07,7.76,100.00,17.86
SRSF2,2,3.6,3.2,4,6.6,3.30,0.79,27.27,13.47,18.94,25.00
ACTL6A,2,1,1.6,4.2,4.3,2.15,0.79,11.63,37.21,61.05,23.81
KCNIP3,3.9,7.3,5.7,8.5,8.6,2.21,0.79,21.77,9.08,17.34,11.76
RBM14,1.6,6.2,4.6,6.6,7.9,4.94,0.79,49.05,9.39,18.16,15.15
PCGF3,1,3.6,2.3,4.6,8.1,8.10,0.79,44.44,7.89,24.69,21.74
EMX2,2.8,2.6,2.6,3.8,4.4,1.57,0.79,21.10,22.73,33.22,26.32
BRPF1,5,6,4.8,10.8,9.9,1.98,0.78,12.12,8.08,22.73,9.26
NEUROG2,1.6,2.3,4.2,3.3,3.3,2.06,0.78,43.56,55.34,23.81,30.30
FOXF1,2.3,2.6,4.8,4,3.8,1.65,0.78,29.75,48.58,21.93,25.00
MLLT10,6.3,4.3,6.8,7.5,10,1.59,0.78,6.83,15.81,11.03,13.33
TBP,2,1.6,1.6,4.9,4.4,2.20,0.78,18.18,22.73,69.60,20.41
NCOR2,4.6,5,3.9,9.6,10,2.17,0.78,10.87,7.80,24.62,10.42
RBBP4,3.6,4.6,6,5.2,10,2.78,0.78,12.78,13.04,8.67,19.23
DPF2,4.2,5,4.6,5.3,6.6,1.57,0.77,18.04,13.94,17.46,18.87
KAT2B,3,3.3,4,5.6,4,1.33,0.77,27.50,30.30,35.00,17.86
EZH2,3,6.5,4,8.9,9.2,3.07,0.77,23.55,6.69,24.18,11.24
NFIB,3.2,2,2,7.6,8.9,2.78,0.77,7.02,11.24,42.70,13.16
ERBB4,5.2,4.6,4.9,6.4,7.7,1.48,0.77,11.49,13.83,16.96,15.63
SP4,2.6,5.6,6.4,5.5,6.5,2.50,0.77,33.14,17.58,13.22,18.18
POU2F1,5.5,7.3,5.6,11.8,10.2,1.85,0.76,13.01,7.52,20.66,8.47
STAT1,1.6,6.9,4.6,8.6,7.8,4.88,0.76,55.29,8.55,23.97,11.63
GFI1,3.3,6.6,4.6,8.8,7.8,2.36,0.75,25.64,8.94,24.53,11.36
GABPA,3,5.3,3.6,6.7,6.7,2.23,0.75,26.37,10.14,27.78,14.93
WT1,3.9,7,4.3,9.6,9.9,2.54,0.75,18.13,6.20,22.55,10.42
ZIC4,6.8,2,5.8,10.5,11.9,1.75,0.75,2.47,24.37,15.21,9.52
NR5A2,3,6,3.7,8.2,7.9,2.63,0.75,25.32,7.81,28.05,12.20
NFIC,3.2,2,2,6.3,7.2,2.25,0.74,8.68,13.89,43.75,15.87
EP300,5.6,3.3,6,7.4,7,1.25,0.74,8.42,25.97,17.62,13.51
ZNF384,5.5,4.3,3.8,11,10.7,1.95,0.74,7.31,8.26,27.05,9.09
LHX6,4.4,8.4,5.3,10.6,10.8,2.45,0.73,17.68,5.84,18.52,9.43
KAT2A,3,3.3,4,6,4,1.33,0.73,27.50,30.30,37.50,16.67
CHD8,4.3,8.5,9.8,8.3,9.4,2.19,0.73,21.03,12.27,9.01,12.05
EZH1,3,6.5,4,7.1,9.5,3.17,0.73,22.81,6.48,18.68,14.08
SMARCA4,2.3,7.5,5,7.2,9.5,4.13,0.72,34.32,7.02,15.16,13.89
SMAD9,1,5,4.3,4,7.2,7.20,0.72,69.44,11.94,12.92,25.00
CTBP1,1,3.3,1.6,4,4.5,4.50,0.72,73.33,10.77,55.56,25.00
RBBP5,1,1,1,5.4,3,3.00,0.72,33.33,33.33,180.00,18.52
MYT1L,1,2.6,1.6,2.6,3.6,3.60,0.71,72.22,17.09,45.14,38.46
SSBP2,2.6,4,5.2,3.6,7.7,2.96,0.71,19.98,16.88,8.99,27.78
ST18,1,2.6,1.6,4.9,3.2,3.20,0.71,81.25,19.23,95.70,20.41
JARID2,4,2.6,3.9,9,5.9,1.48,0.71,11.02,25.42,39.11,11.11
NR4A1,3.2,3,5.8,3.9,10.5,3.28,0.71,8.93,18.41,6.40,25.64
PBX3,1.6,4,1.6,5.3,6.6,4.13,0.71,37.88,6.06,50.19,18.87
HDAC7,3.3,4,2.6,5.9,6.7,2.03,0.71,18.09,9.70,33.87,16.95
MYRF,1,3.2,1,5.8,4.9,4.90,0.70,65.31,6.38,118.37,17.24
TONSL,2,7.3,5.3,7.8,7.3,3.65,0.70,50.00,9.95,20.16,12.82
KDM4A,1,4,3.6,7,3.8,3.80,0.70,105.26,23.68,51.17,14.29
CCNE1,3.6,4.9,4.6,4.5,5.8,1.61,0.70,23.47,16.19,16.87,22.22
BBX,2.6,5,2.6,5.9,9.1,3.50,0.70,21.13,5.71,24.94,16.95
SALL4,2.3,7,4.8,8,7,3.04,0.69,43.48,9.80,23.81,12.50
GFI1B,3.3,6.6,4.6,6.6,7.6,2.30,0.69,26.32,9.17,18.88,15.15
GRHL2,1.6,4,2.6,4.6,4.2,2.63,0.69,59.52,15.48,42.12,21.74
CTBP2,1,3.3,1.6,4.6,3.8,3.80,0.68,86.84,12.76,75.66,21.74
PHOX2B,1.6,3.3,6.7,5.7,3.9,2.44,0.68,52.88,52.06,21.81,17.54
DCC,4.3,9.1,6,8.8,11.3,2.63,0.68,18.73,5.83,12.98,11.36
BAZ2B,4,9,7.3,8.2,9.5,2.38,0.68,23.68,8.54,11.82,12.20
TOX2,2,5.8,3.3,6.2,6.6,3.30,0.68,43.94,8.62,28.47,16.13
DMRTA2,2.6,2,3.3,2.6,4.6,1.77,0.67,16.72,35.87,17.13,38.46
CUX1,6.2,7,4.9,9.8,10.5,1.69,0.67,10.75,6.67,19.05,10.20
TWIST2,1,5.5,3.5,5.5,5.5,5.50,0.67,100.00,11.57,28.57,18.18
HOXA1,2.6,5.5,5.5,5.3,5.3,2.04,0.67,39.91,18.87,18.18,18.87
SMARCA1,1.6,4.8,2,7.2,5.8,3.63,0.67,51.72,7.18,62.07,13.89
TAF6L,1,2,1,3.8,2.6,2.60,0.66,76.92,19.23,146.15,26.32
CBL,4.2,2.6,2.6,8,6.6,1.57,0.66,9.38,15.15,46.62,12.50
APEX1,2.6,2,1,4.6,8,3.08,0.66,9.62,6.25,57.50,21.74
CHD9,4.3,8.5,7.8,6.8,11,2.56,0.66,17.97,8.34,7.93,14.71
ZNF146,2.8,5,6.3,4.3,6.3,2.25,0.66,28.34,20.00,10.83,23.26
STAT5A,1.6,6.9,3.6,6.7,7.9,4.94,0.66,54.59,6.60,23.56,14.93
ZBED4,2,2.6,5.3,3.6,3.6,1.80,0.64,36.11,56.62,18.87,27.78
MAX,1,3.2,3.2,2,7.1,7.10,0.63,45.07,14.08,8.80,50.00
KLF10,2.6,6.8,5.4,5.5,7.5,2.88,0.63,34.87,10.59,13.58,18.18
HDAC5,3.3,4,2.6,5.4,5.4,1.64,0.63,22.45,12.04,38.46,18.52
ERF,3,7.1,6.6,5.7,7.7,2.57,0.63,30.74,12.07,11.22,17.54
SALL1,2.3,7,5.3,5.2,8.8,3.83,0.63,34.58,8.60,11.15,19.23
EED,1,4.6,1.6,4.6,6,6.00,0.63,76.67,5.80,47.92,21.74
NR5A1,3,6,3.7,5.6,7.2,2.40,0.62,27.78,8.56,21.02,17.86
LMX1A,6.4,6.4,5.7,7.2,8.3,1.30,0.62,12.05,10.73,15.22,13.89
HNF4A,4,7.2,3.8,7.6,9.6,2.40,0.62,18.75,5.50,20.83,13.16
GRHL1,1.6,4,2.6,3.6,4.2,2.63,0.61,59.52,15.48,32.97,27.78
PAX5,2.8,8.9,3.2,10.7,10.3,3.68,0.61,30.86,3.49,32.46,9.35
HMX1,3.2,6.3,4.5,5.5,7,2.19,0.61,28.13,10.20,17.46,18.18
ELP2,2.6,3.3,5,2.6,8.3,3.19,0.61,15.29,18.25,6.27,38.46
ZEB1,2.3,6.4,5.8,4.2,9,3.91,0.60,30.92,10.07,8.05,23.81
BTF3,2,3,1,4.2,5,2.50,0.60,30.00,6.67,84.00,23.81
SALL3,2.3,7,5.3,4.8,9.3,4.04,0.60,32.73,8.14,9.74,20.83
SRCAP,5.2,5.9,4.8,8.5,6.6,1.27,0.60,17.19,12.33,26.83,11.76
SALL2,2.3,7,5.2,4.8,9.2,4.00,0.59,33.08,8.07,10.03,20.83
SP8,2.6,7.6,6.1,5.5,8.7,3.35,0.59,33.60,9.23,10.36,18.18
LHX9,6.4,8.1,5.3,9.8,10,1.56,0.59,12.66,6.54,18.49,10.20
HIPK3,6.3,4.6,5.8,6.3,7.6,1.21,0.59,9.61,16.59,14.29,15.87
ZNF286A,4,8.6,5.2,6.9,12.6,3.15,0.59,17.06,4.80,10.53,14.49
STAT3,1.6,6.9,2.6,6.8,7.7,4.81,0.59,56.01,4.89,33.97,14.71
FOXN2,2,5,4.3,3.6,5.8,2.90,0.58,43.10,14.83,14.43,27.78
CNOT3,2,1,2.6,2,2.6,1.30,0.58,19.23,100.00,29.59,50.00
SOX6,6.2,4,4.6,8.3,7.3,1.18,0.58,8.84,15.75,24.72,12.05
ZIC3,6.8,2,5.8,7.8,8.2,1.21,0.58,3.59,35.37,16.40,12.82
ZIC1,6.8,2,6.1,8.2,7.8,1.15,0.58,3.77,39.10,17.23,12.20
YEATS4,1,1,1,1,4.6,4.60,0.58,21.74,21.74,21.74,100.00
TULP4,3.6,7.2,6.9,7.2,6.2,1.72,0.58,32.26,15.46,16.83,13.89
EMX1,2.8,2.6,2.6,2.8,5.4,1.93,0.58,17.20,18.52,19.94,35.71
CDK7,3.6,1.6,4,2.8,8.4,2.33,0.58,5.29,29.76,8.33,35.71
WDR5,5.4,7.8,6.3,7,8.3,1.54,0.56,17.40,9.73,13.39,14.29
CERS5,5.6,3,3.3,7.2,7.5,1.34,0.56,7.14,14.67,29.09,13.89
TRRAP,4.2,1.6,1.6,5.9,6.5,1.55,0.56,5.86,15.38,56.73,16.95
NEDD8,1,3,1,4.6,3,3.00,0.56,100.00,11.11,153.33,21.74
LDB1,2,1,2,3.6,2,1.00,0.55,25.00,100.00,90.00,27.78
NFX1,1,6,3,5.4,5.4,5.40,0.55,111.11,9.26,33.33,18.52
NEUROG1,1.6,2.3,5.8,3.3,3.3,2.06,0.55,43.56,76.42,17.24,30.30
HIPK1,6.3,4.6,4.8,6.3,9.6,1.52,0.55,7.61,10.87,13.67,15.87
MYB,4.3,6.2,3.6,5.6,11.2,2.60,0.55,12.87,5.18,13.89,17.86
GRHL3,1.6,4,3.6,2.6,4.9,3.06,0.55,51.02,18.37,14.74,38.46
RNF20,2,2,1,4.3,3,1.50,0.53,33.33,16.67,143.33,23.26
ZNF362,5.5,4.3,3.3,7.7,7.2,1.31,0.53,10.86,10.66,32.41,12.99
POU2F3,5.5,7.3,5.6,6.9,7.9,1.44,0.53,16.80,9.71,15.60,14.49
TOX3,2,5.8,5.3,4.9,4.9,2.45,0.52,59.18,18.65,18.87,20.41
MEOX2,2.6,3.5,7,4.3,4.3,1.65,0.51,31.31,46.51,14.29,23.26
NHLH1,1,4.3,3.5,3.5,3.5,3.50,0.51,122.86,23.26,28.57,28.57
HOXB1,2.6,5.5,4.5,4.3,5.3,2.04,0.51,39.91,15.44,18.03,23.26
BAZ2A,4,9,5,7,10.1,2.53,0.49,22.28,5.50,13.86,14.29
MYRFL,1,3.2,1,2,5.3,5.30,0.49,60.38,5.90,37.74,50.00
LMX1B,6.4,6.4,4.7,7.2,9.2,1.44,0.48,10.87,7.98,16.65,13.89
PLRG1,6.2,4.2,4.2,6.6,7.7,1.24,0.48,8.80,12.99,20.41,15.15
FOXA2,4.8,7.2,8.1,6.8,6.6,1.38,0.48,22.73,17.05,12.72,14.71
MYBL1,4.3,6.2,3.6,6.8,6.6,1.53,0.48,21.85,8.80,28.62,14.71
ZNF286B,4,8.6,5.2,6.9,8.8,2.20,0.47,24.43,6.87,15.08,14.49
HMGB1,5.6,6.6,3.6,8.5,8.2,1.46,0.47,14.37,6.65,28.79,11.76
STAT6,1.6,6.9,2.6,3.8,9.9,6.19,0.47,43.56,3.81,14.76,26.32
TBX3,2,8.6,5.6,6.9,6.9,3.45,0.47,62.32,9.44,17.86,14.49
PPARG,5.3,6.6,3.2,7.3,9.3,1.75,0.47,13.39,5.21,24.53,13.70
TFEB,7.2,4,4,7.9,9.2,1.28,0.47,6.04,10.87,21.47,12.66
SND1,2.3,4.3,4.3,4.6,3.3,1.43,0.46,56.65,30.30,32.42,21.74
LHX2,6.4,8.1,5.3,8.9,8.8,1.38,0.46,14.38,7.44,19.08,11.24
PAX8,2.8,8.9,3.2,7.8,8.7,3.11,0.45,36.54,4.13,28.02,12.82
MEIS1,6.3,4.9,3.8,7.2,8.1,1.29,0.45,9.60,9.57,23.39,13.89
MITF,7.2,4,4.6,7.2,8.9,1.24,0.45,6.24,12.92,17.59,13.89
SETD2,6.6,6.8,6.6,8.1,6.7,1.02,0.45,15.38,14.49,18.32,12.35
ISL1,4.4,7.6,4.7,7.2,7.2,1.64,0.44,23.99,8.59,21.28,13.89
PAX2,2.8,8.9,5.2,6.3,8.3,2.96,0.44,38.30,7.04,14.60,15.87
ERBB2,5.2,4.6,4.9,3.8,10.2,1.96,0.44,8.67,10.44,7.60,26.32
KLF9,2.6,6.8,5.4,5.5,5.5,2.12,0.43,47.55,14.44,18.52,18.18
STAT4,1.6,6.9,2.6,4.8,7,4.38,0.43,61.61,5.38,26.37,20.83
CERS3,5.6,3,5.3,4.3,7.5,1.34,0.43,7.14,23.56,10.82,23.26
NKX6-1,4,3.5,8.2,4,6,1.50,0.43,14.58,39.05,8.13,25.00
LHX8,4.4,8.4,5.3,8.2,7.2,1.64,0.43,26.52,8.76,21.49,12.20
NONO,4.3,4,2,4.2,8.5,1.98,0.42,10.94,5.88,24.71,23.81
CAMTA2,4.4,7.2,3,7.8,7.6,1.73,0.41,21.53,5.48,34.21,12.82
DDX54,2.6,1.6,2,1.6,5,1.92,0.41,12.31,25.00,16.00,62.50
CALR,2,3,2,2.3,3.6,1.80,0.40,41.67,18.52,31.94,43.48
EPAS1,2.6,7.8,5,5.3,7,2.69,0.40,42.86,9.16,15.14,18.87
SIN3A,2,8.2,1,7.8,7.8,3.90,0.40,52.56,1.56,100.00,12.82
STAT2,1.6,6.9,4.6,4.8,5.4,3.38,0.39,79.86,12.35,19.32,20.83
HIRA,3.6,2,2,4,4,1.11,0.39,13.89,25.00,50.00,25.00
HDAC9,3.3,4,3.6,2.6,6.6,2.00,0.39,18.37,13.64,10.94,38.46
ETV3,3,7.1,3.6,6.9,5.7,1.90,0.38,41.52,8.90,33.63,14.49
SPDEF,6,4.6,3.3,8,6.6,1.10,0.38,11.62,10.87,36.73,12.50
AHRR,2.6,4.8,1,3.6,7.2,2.77,0.37,25.64,2.89,50.00,27.78
DMRTA1,2.6,2,2.3,2.6,2.6,1.00,0.37,29.59,44.23,43.48,38.46
CDK9,3.6,1,1.6,4.2,3.6,1.00,0.37,7.72,44.44,72.92,23.81
MEIS3,6.3,4.9,2.8,6.2,9.5,1.51,0.36,8.19,6.02,23.31,16.13
TAF1,1,6.2,1.6,3.6,6.1,6.10,0.35,101.64,4.23,36.89,27.78
BSX,3.2,5.2,5.5,4.5,4.4,1.38,0.35,36.93,24.04,18.60,22.22
HMX2,3.2,6.3,7.7,6.5,4.4,1.38,0.34,44.74,27.78,19.19,15.38
PBX2,1.6,4,3.6,5.6,2,1.25,0.34,125.00,45.00,77.78,17.86
CAMTA1,4.4,7.2,2.6,8.1,7,1.59,0.34,23.38,5.16,44.51,12.35
ZBED6,2,2.6,4.3,2.6,2.6,1.30,0.33,50.00,63.61,23.26,38.46
NR6A1,5.2,8.3,3.7,8.2,8.2,1.58,0.32,19.47,5.44,27.03,12.20
SOX5,6.2,4,1.6,7.1,8.1,1.31,0.32,7.96,4.94,54.78,14.08
OSR2,2.6,6.2,3.3,2.6,8.3,3.19,0.32,28.73,6.41,9.49,38.46
SIX3,2,4.2,2.3,5.8,2.6,1.30,0.32,80.77,21.06,96.99,17.24
ZIC5,6.8,2,6.1,6.2,6.2,0.91,0.32,4.74,49.19,16.39,16.13
SOX14,1.6,6.8,3.8,6,4.1,2.56,0.32,103.66,13.63,38.51,16.67
ZFHX4,7.9,6.4,5.3,8.5,8.6,1.09,0.31,9.42,9.63,18.65,11.76
E2F3,3,3.6,2,3.6,4.2,1.40,0.31,28.57,13.23,42.86,27.78
PPP1R13L,7.6,6.8,5.8,7,9.5,1.25,0.31,9.42,8.98,12.70,14.29
